Kew Gardens
'roses,': ROES/-S/KW-BG
'nightingales,': TPHAOEUT/-G/TKPWAEL/-S/KW-BG
'sea': SAE
'beaches,': PWAOEFPS/KW-BG
'mermaids,': PHER/PHAEUDZ/KW-BG
'and': SKP
'women': WEUPL
'drowned': TKROUPBD
'at': AT
'sea,': SAE/KW-BG
'as': AS
'he': HE
'suffered': SUFRD
'himself': HEUPLS
'to': TO
'be': -B
'moved': PHOFD
'on': OPB
'by': PWEU
'William,': WOEUPL/KW-BG
'upon': POPB
'whose': WHOZ
'face': TPAEUS
'the': -T
'look': HRAOBG
'of': -F
'stoical': STOE/KAL
'patience': PAEURBS
'grew': TKPWRAOU
'slowly': SHROEL
'deeper': TKAOERP
'and': SKP
'deeper.': TKAOERP/TP-PL
'Following': KPA/TPOLG
'his': HEUS
'steps': STEPS
'so': SO
'closely': KHROELS
'as': AS
'to': TO
'be': -B
'slightly': SHRAOEULT
'puzzled': PUZ/*LD
'by': PWEU
'his': HEUS
'gestures': SKWRES/KHURS
'came': KAEUPL
'two': TWO
'elderly': ERLD
'women': WEUPL
'of': -F
'the': -T
'lower': HROUR
'middle': PH*EULD
'class,': KHRAS/KW-BG
'one': WUPB
'stout': STOUT
'and': SKP
'ponderous,': POPBD/ROUS/KW-BG
'the': -T
'other': OER
'rosy': ROEZ/SEU
'cheeked': KHAOEBG/-D
'and': SKP
'nimble.': TPHEUPL/*L/TP-PL
'Like': KPA/HRAOEUBG
'most': PHOFT
'people': PAOEPL
'of': -F
'their': THAEUR
'station': STAEUGS
'they': THE
'were': WR
'frankly': TPRAPBG/HREU
'fascinated': TPAS/TPHAEUTD
'by': PWEU
'any': TPHEU
'signs': SAOEUPBS
'of': -F
'eccentricity': EBG/SEPB/TREUFT
'betokening': PWE/TO*EPB/-G
'a': AEU
'disordered': TKORD/-D
'brain,': PWRAEUPB/KW-BG
'especially': EPS
'in': TPH
'the': -T
'well-to-do;': W*EL/TO/H-PB/TKO/STPH*FPLT
'but': PWUT
'they': THE
'were': WR
'too': TAO
'far': TPAR
'off': OF
'to': TO
'be': -B
'certain': SERPB
'whether': WHR
'the': -T
'gestures': SKWRES/KHURS
'were': WR
'merely': PHAOERL
'eccentric': SKEPBT/REUBG
'or': OR
'genuinely': SKWREPB/WAOEUPBL
'mad.': PHAD/TP-PL
'After': KPA/AF
'they': THE
'had': H
'scrutinised': SKRAOUT/TPHAOEUZ/-D/A*U
'the': -T
'old': OLD
'man's': PHAPB/AES
'back': PWABG
'in': TPH
'silence': SHREPBS
'for': TPOR
'a': AEU
'moment': PHOEPLT
'and': SKP
'given': TKPWEUFPB
'each': AOEFP
'other': OER
'a': AEU
'queer,': KWAOER/KW-BG
'sly': SHRAOEU
'look,': HRAOBG/KW-BG
'they': THE
'went': WEPBT
'on': OPB
'energetically': TPH-RG/ET/KHREU
'piecing': PAOES/-G
'together': TOGT
'their': THAEUR
'very': SRE
'complicated': PHREUBGD
'dialogue:': TKHROG/STPH-FPLT
'"Nell,': KW-GS/TPH*P/*E/HR*/HR*/KW-BG
'Bert,': PWERT/KW-BG
'Lot,': KPA/HROT/KW-BG
'Cess,': KR*P/*ES/KW-BG
'Phil,': TP*EUL/KW-BG
'Pa,': PA/KW-BG
'he': HE
'says,': SEZ/KW-BG
'I': EU
'says,': SEZ/KW-BG
'she': SHE
'says,': SEZ/KW-BG
'I': EU
'says,': SEZ/KW-BG
'I': EU
'says,': SEZ/KW-BG
'I': EU
'says——"': SEZ/EPL/TKA*RB/EPL/TKA*RB/KR-GS
'"My': KW-GS/KPA*/PHEU
'Bert,': PWERT/KW-BG
'Sis,': KPA/SEUS/KW-BG
'Bill,': PW*EUL/KW-BG
'Grandad,': KPA/TKPWRAPB/TK-LS/TKAD/KW-BG
'the': -T
'old': OLD
'man,': PHAPB/KW-BG
'sugar,': SHURG/KW-BG
'Sugar,': KPA/SHURG/KW-BG
'flour,': TPHROUR/KW-BG
'kippers,': KEUP/*ER/-S/KW-BG
'greens,': TKPWRAOEPBS/KW-BG
'Sugar,': KPA/SHURG/KW-BG
'sugar,': SHURG/KW-BG
'sugar."': SHURG/TP-PL/KR-GS
'The': KPA/-T
'ponderous': POPBD/ROUS
'woman': WOPL
'looked': HRAOBGD
'through': THRU
'the': -T
'pattern': PAERPB
'of': -F
'falling': TPAULG
'words': WORDZ
'at': AT
'the': -T
'flowers': TPHRO*URS
'standing': STAPBG
'cool,': KAOL/KW-BG
'firm,': TPEURPL/KW-BG
'and': SKP
'upright': AUP/RAOEUGT
'in': TPH
'the': -T
'earth,': *ERT/KW-BG
'with': W
'a': AEU
'curious': KAOURS
'expression.': EBGS/PREGS/TP-PL
'She': KPA/SHE
'saw': SAU
'them': THEPL
'as': AS
'a': AEU
'sleeper': SHRAOEP/*ER
'waking': WAEUG
'from': TPR
'a': AEU
'heavy': HOEUF
'sleep': SHRAOEP
'sees': SAO*ES
'a': AEU
'brass': PWRAS
'candlestick': KR*/A*/TPH*/TK*/HR*/EFT/EUBG/*BG
'reflecting': RAOE/TPHREBGT/-G
'the': -T
'light': HRAOEUT
'in': TPH
'an': APB
'unfamiliar': UPB/TPAPL
'way,': WAEU/KW-BG
'and': SKP
'closes': KHROESZ
'his': HEUS
'eyes': AO*EUS
'and': SKP
'opens': OEPS
'them,': THEPL/KW-BG
'and': SKP
'seeing': SAOEG
'the': -T
'brass': PWRAS
'candlestick': KR*/A*/TPH*/TK*/HR*/EFT/EUBG/*BG
'again,': STKPWERPBGS
'finally': TPHRAOEUPBL
'starts': STARTS
'broad': PWRAOD
'awake': A/WAEUBG
'and': SKP
'stares': STAERS
'at': AT
'the': -T
'candlestick': KR*/A*/TPH*/TK*/HR*/EFT/EUBG/*BG
'with': W
'all': AUL
'his': HEUS
'powers.': POURS/TP-PL
'So': KPA/SO
'the': -T
'heavy': HOEUF
'woman': WOPL
'came': KAEUPL
'to': TO
'a': AEU
'standstill': STAPB/STEUL
'opposite': OP/SEUT
'the': -T
'oval-shaped': OEFL/SHA*EUPD
'flower': TPHRO*UR
'bed,': PWED/KW-BG
'and': SKP
'ceased': SAOES/-D
'even': AOEPB
'to': TO
'pretend': PRE/TEPBD
'to': TO
'listen': HREUFPB
'to': TO
'what': WHA
'the': -T
'other': OER
'woman': WOPL
'was': WAS
'saying.': SAEUG/TP-PL
'She': KPA/SHE
'stood': STAOD
'there': THR
'letting': HREGT
'the': -T
'words': WORDZ
'fall': TPAUL
'over': OEFR
'her,': HER/KW-BG
'swaying': SWAEUG
'the': -T
'top': TOP
'part': PART
'of': -F
'her': HER
'body': PWO*ED
'slowly': SHROEL
'backwards': PWABG/WARDZ
'and': SKP
'forwards,': TPAORDZ/KW-BG
'looking': HRAOG
'at': AT
'the': -T
'flowers.': TPHRO*URS/TP-PL
'Then': KPA/THEPB
'she': SHE
'suggested': SUGD
'that': THA
'they': THE
'should': SHO
'find': TPAOEUPBD
'a': AEU
'seat': SAOET
'and': SKP
'have': SR
'their': THAEUR
'tea.': TAE/TP-PL
'The': KPA/-T
'snail': STPHAEUL
'had': H
'now': TPHOU
'considered': KR-D
'every': EF
'possible': POB
'method': PHO*D
'of': -F
'reaching': RAOEFPG
'his': HEUS
'goal': TKPWOEL
'without': WOUT
'going': TKPW-G
'round': ROUPBD
'the': -T
'dead': TKED
'leaf': HRAOEF
'or': OR
'climbing': KHRAOEUPL/-G
'over': OEFR
'it.': T/TP-PL
'Let': KPA/HRET
'alone': A/HROEPB
'the': -T
'effort': EFRT
'needed': TPHAOETD
'for': TPOR
'climbing': KHRAOEUPL/-G
'a': AEU
'leaf,': HRAOEF/KW-BG
'he': HE
'was': WAS
'doubtful': TKOUT/-FL
'whether': WHR
'the': -T
'thin': THEUPB
'texture': TET/TAOUR
'which': WEU
'vibrated': SRAOEU/PWRAEUT/-D
'with': W
'such': SUFP
'an': APB
'alarming': A/HRARPLG
'crackle': KRABG/*L
'when': WHEPB
'touched': TUFPD
'even': AOEPB
'by': PWEU
'the': -T
'tip': TEUP
'of': -F
'his': HEUS
'horns': HORPBS
'would': WO
'bear': PWAER
'his': HEUS
'weight;': WAET/STPH*FPLT
'and': SKP
'this': TH
'determined': TKERPLD
'him': HEUPL
'finally': TPHRAOEUPBL
'to': TO
'creep': KRAOEP
'beneath': TPHAO*ET
'it,': T/KW-BG
'for': TPOR
'there': THR
'was': WAS
'a': AEU
'point': POEUPBT
'where': W-R
'the': -T
'leaf': HRAOEF
'curved': KUFRBD
'high': HAOEU
'enough': TPHUF
'from': TPR
'the': -T
'ground': TKPWROUPBD
'to': TO
'admit': TKPHEUT
'him.': HEUPL/TP-PL
'He': KPA/HE
'had': H
'just': SKWRUFT
'inserted': EUPB/SERTD
'his': HEUS
'head': HED
'in': TPH
'the': -T
'opening': OEPG
'and': SKP
'was': WAS
'taking': TAEUG
'stock': STOBG
'of': -F
'the': -T
'high': HAOEU
'brown': PWROUPB
'roof': RAOF
'and': SKP
'was': WAS
'getting': TKPWEGT
'used': AOUFD
'to': TO
'the': -T
'cool': KAOL
'brown': PWROUPB
'light': HRAOEUT
'when': WHEPB
'two': TWO
'other': OER
'people': PAOEPL
'came': KAEUPL
'past': PAFT
'outside': OUDZ
'on': OPB
'the': -T
'turf.': T*UFR/TP-PL
'This': KPA/TH
'time': TAOEUPL
'they': THE
'were': WR
'both': PWO*T
'young,': KWRUPBG/KW-BG
'a': AEU
'young': KWRUPBG
'man': PHAPB
'and': SKP
'a': AEU
'young': KWRUPBG
'woman.': WOPL/TP-PL
'They': KPA/THE
'were': WR
'both': PWO*T
'in': TPH
'the': -T
'prime': PRAOEUPL
'of': -F
'youth,': KWRAO*UT/KW-BG
'or': OR
'even': AOEPB
'in': TPH
'that': THA
'season': S-PB
'which': WEU
'precedes': PRAOE/SAOEDZ
'the': -T
'prime': PRAOEUPL
'of': -F
'youth,': KWRAO*UT/KW-BG
'the': -T
'season': S-PB
'before': PW-FR
'the': -T
'smooth': SPHAO*T
'pink': P*EUPBG
'folds': TPOLDZ
'of': -F
'the': -T
'flower': TPHRO*UR
'have': SR
'burst': PWUFRT
'their': THAEUR
'gummy': TKPWUPL/PH*EU
'case,': KAEUS/KW-BG
'when': WHEPB
'the': -T
'wings': WEUPBGS
'of': -F
'the': -T
'butterfly,': PW*URT/TPHRAOEU/KW-BG
'though': THOE
'fully': TPHRAOUL
'grown,': TKPWROEPB/KW-BG
'are': R
'motionless': PHOEGS/-LS
'in': TPH
'the': -T
'sun.': SUPB/TP-PL
'"Lucky': KW-GS/KPA*/HROEUBG
'it': T
'isn't': S-PBT
'Friday,"': TPREU/KW-BG/KR-GS
'he': HE
'observed.': OEBD/TP-PL
'"Why?': KW-GS/KPA*/KWR/H-F
'D'you': TK*P/AE/U
'believe': PWHREF
'in': TPH
'luck?"': HRUBG/H-F/KR-GS
'"They': KW-GS/KPA*/THE
'make': PHAEUBG
'you': U
'pay': PAEU
'sixpence': S*/*EU/KP*/P*/*E/TPH*/KR*/*E
'on': OPB
'Friday."': TPREU/TP-PL/KR-GS
'"What's': KW-GS/KPA*/WHATS
'sixpence': S*/*EU/KP*/P*/*E/TPH*/KR*/*E
'anyway?': TPHAE/H-F
'Isn't': KPA/S-PBT
'it': T
'worth': WO*RT
'sixpence?"': S*/*EU/KP*/P*/*E/TPH*/KR*/*E/H-F/KR-GS
'"What's': KW-GS/KPA*/WHATS
''it'—what': A*E/T/AE/EPL/TKA*RB/WHA
'do': TKO
'you': U
'mean': PHAOEPB
'by': PWEU
''it'?"': A*E/T/AE/H-F/KR-GS
'"O,': KW-GS/O*P/KW-BG
'anything—I': TPHEUG/EPL/TKA*RB/EU
'mean—you': PHAOEPB/EPL/TKA*RB/U
'know': TPHOE
'what': WHA
'I': EU
'mean."': PHAOEPB/TP-PL/KR-GS
'Long': KPA/HROPBG
'pauses': PAUS/-S
'came': KAEUPL
'between': TWAOEPB
'each': AOEFP
'of': -F
'these': THEZ
'remarks;': RARBG/-S/STPH*FPLT
'they': THE
'were': WR
'uttered': UT/ERD
'in': TPH
'toneless': TOEPB/-LS
'and': SKP
'monotonous': PHOPB/OT/TPHUS
'voices.': SROEUFS/TP-PL
'The': KPA/-T
'couple': KUPL
'stood': STAOD
'still': STEUL
'on': OPB
'the': -T
'edge': EPBLG
'of': -F
'the': -T
'flower': TPHRO*UR
'bed,': PWED/KW-BG
'and': SKP
'together': TOGT
'pressed': PREFD
'the': -T
'end': EPBD
'of': -F
'her': HER
'parasol': PA*R/SOL
'deep': TKAOEP
'down': TKOUPB
'into': TPHAO
'the': -T
'soft': SOFT
'earth.': *ERT/TP-PL
'The': KPA/-T
'action': A*BGS
'and': SKP
'the': -T
'fact': TPABGT
'that': THA
'his': HEUS
'hand': HAPBD
'rested': REFTD
'on': OPB
'the': -T
'top': TOP
'of': -F
'hers': HERS
'expressed': EBGS/PREFD
'their': THAEUR
'feelings': TPAOELGS
'in': TPH
'a': AEU
'strange': STRAEUPBG
'way,': WAEU/KW-BG
'as': AS
'these': THEZ
'short': SHORT
'insignificant': EUPB/SEUG
'words': WORDZ
'also': HR-S
'expressed': EBGS/PREFD
'something,': S-G/KW-BG
'words': WORDZ
'with': W
'short': SHORT
'wings': WEUPBGS
'for': TPOR
'their': THAEUR
'heavy': HOEUF
'body': PWO*ED
'of': -F
'meaning,': PHAOEPBG/KW-BG
'inadequate': TPHAD/KWAT
'to': TO
'carry': KAER
'them': THEPL
'far': TPAR
'and': SKP
'thus': THUS
'alighting': A/HRAOEUGT
'awkwardly': AUBG/WARD/HREU
'upon': POPB
'the': -T
'very': SRE
'common': KPHOPB
'objects': OBS
'that': THA
'surrounded': SROUPBD/-D
'them,': THEPL/KW-BG
'and': SKP
'were': WR
'to': TO
'their': THAEUR
'inexperienced': EUPB/SPAOERPBS/-D
'touch': TUFP
'so': SO
'massive;': PHEUFS/STPH*FPLT
'but': PWUT
'who': WHO
'knows': TPHOEZ
'(so': PREPB/SO
'they': THE
'thought': THAUT
'as': AS
'they': THE
'pressed': PREFD
'the': -T
'parasol': PA*R/SOL
'into': TPHAO
'the': -T
'earth)': *ERT/PR*EPB
'what': WHA
'precipices': PRES/PEUS/-S
'aren't': R-PBT
'concealed': KAUPB/SAOELD
'in': TPH
'them,': THEPL/KW-BG
'or': OR
'what': WHA
'slopes': SHROEPS
'of': -F
'ice': AOEUS
'don't': TKOEPBT
'shine': SHAOEUPB
'in': TPH
'the': -T
'sun': SUPB
'on': OPB
'the': -T
'other': OER
'side?': SAOEUD/H-F
'Who': KPA/WHO
'knows?': TPHOEZ/H-F
'Who': KPA/WHO
'has': HAS
'ever': -FR
'seen': SAOEPB
'this': TH
'before?': PW-FR/H-F
'Even': KPA/AOEPB
'when': WHEPB
'she': SHE
'wondered': WOPBD/-D
'what': WHA
'sort': SORT
'of': -F
'tea': TAE
'they': THE
'gave': TKPWAEUF
'you': U
'at': AT
'Kew,': K*P/*E/W*/KW-BG
'he': HE
'felt': TPELT
'that': THA
'something': S-G
'loomed': HRAOPLD
'up': UP
'behind': HEUPBD
'her': HER
'words,': WORDZ/KW-BG
'and': SKP
'stood': STAOD
'vast': SRAFT
'and': SKP
'solid': SOLD
'behind': HEUPBD
'them;': THEPL/STPH*FPLT
'and': SKP
'the': -T
'mist': PHEUFT
'very': SRE
'slowly': SHROEL
'rose': ROEZ
'and': SKP
'uncovered—O,': UPB/KOFRD/EPL/TKA*RB/O*P/KW-BG
'Heavens,': KPA/HEFPBS/KW-BG
'what': WHA
'were': WR
'those': THOZ
'shapes?—little': SHAEUPS/H-F/EPL/TKA*RB/HREUL
'white': WHAOEUT
'tables,': TAEUBLS/KW-BG
'and': SKP
'waitresses': WAEU/TRES/-S
'who': WHO
'looked': HRAOBGD
'first': TPEUFRT
'at': AT
'her': HER
'and': SKP
'then': THEPB
'at': AT
'him;': HEUPL/STPH*FPLT
'and': SKP
'there': THR
'was': WAS
'a': AEU
'bill': PWEUL
'that': THA
'he': HE
'would': WO
'pay': PAEU
'with': W
'a': AEU
'real': RAEL
'two': TWO
'shilling': SHEULG
'piece,': PAOES/KW-BG
'and': SKP
'it': T
'was': WAS
'real,': RAEL/KW-BG
'all': AUL
'real,': RAEL/KW-BG
'he': HE
'assured': A/SHURD
'himself,': HEUPLS/KW-BG
'fingering': TPEUPBG/ERG
'the': -T
'coin': KOEUPB
'in': TPH
'his': HEUS
'pocket,': POBGT/KW-BG
'real': RAEL
'to': TO
'everyone': EFRPB
'except': KPEPT
'to': TO
'him': HEUPL
'and': SKP
'to': TO
'her;': HER/STPH*FPLT
'even': AOEPB
'to': TO
'him': HEUPL
'it': T
'began': TKPWAPB
'to': TO
'seem': SAOEPL
'real;': RAEL/STPH*FPLT
'and': SKP
'then—but': THEPB/EPL/TKA*RB/PWUT
'it': T
'was': WAS
'too': TAO
'exciting': KPAOEUG
'to': TO
'stand': STAPBD
'and': SKP
'think': THEU
'any': TPHEU
'longer,': HRORPBG/KW-BG
'and': SKP
'he': HE
'pulled': PULD
'the': -T
'parasol': PA*R/SOL
'out': OUT
'of': -F
'the': -T
'earth': *ERT
'with': W
'a': AEU
'jerk': SKWRERBG
'and': SKP
'was': WAS
'impatient': EUPL/PAEURBT
'to': TO
'find': TPAOEUPBD
'the': -T
'place': PHRAEUS
'where': W-R
'one': WUPB
'had': H
'tea': TAE
'with': W
'other': OER
'people,': PAOEPL/KW-BG
'like': HRAOEUBG
'other': OER
'people.': PAOEPL/TP-PL
'"Come': KW-GS/KPA*/KOPL
'along,': HRAOPBG/KW-BG
'Trissie;': T*P/R*/EUS/-S/AO*E/STPH*FPLT
'it's': T-S
'time': TAOEUPL
'we': WE
'had': H
'our': OUR
'tea."': TAE/TP-PL/KR-GS
'"Wherever': KW-GS/KPA*/W-FR
'does': TKOS
'one': WUPB
'have': SR
'one's': W*UPBS
'tea?"': TAE/H-F/KR-GS
'she': SHE
'asked': SK-D
'with': W
'the': -T
'oddest': OD/EFT
'thrill': THREUL
'of': -F
'excitement': KPAOEUPLT
'in': TPH
'her': HER
'voice,': SROEUS/KW-BG
'looking': HRAOG
'vaguely': SRAEUG/HREU
'round': ROUPBD
'and': SKP
'letting': HREGT
'herself': H*ERS
'be': -B
'drawn': TKRAUPB
'on': OPB
'down': TKOUPB
'the': -T
'grass': TKPWRAS
'path,': PA*T/KW-BG
'trailing': TRAEULG
'her': HER
'parasol,': PA*R/SOL/KW-BG
'turning': TURPBG
'her': HER
'head': HED
'this': TH
'way': WAEU
'and': SKP
'that': THA
'way,': WAEU/KW-BG
'forgetting': TPERGT/-G
'her': HER
'tea,': TAE/KW-BG
'wishing': WEURBG
'to': TO
'go': TKPW
'down': TKOUPB
'there': THR
'and': SKP
'then': THEPB
'down': TKOUPB
'there,': THR-RBGS
'remembering': RERG
'orchids': OR/KHEUDZ
'and': SKP
'cranes': KRAEUPBS
'among': PHOPBG
'wild': WAOEULD
'flowers,': TPHRO*URS/KW-BG
'a': AEU
'Chinese': KHAOEUPBZ
'pagoda': PA/TKPWOE/TKA
'and': SKP
'a': AEU
'crimson': KREUPL/SOPB
'crested': KREFT/-D
'bird;': PWEURD/STPH*FPLT
'but': PWUT
'he': HE
'bore': PWOR
'her': HER
'on.': OPB/TP-PL
'Thus': KPA/THUS
'one': WUPB
'couple': KUPL
'after': AF
'another': TPHOER
'with': W
'much': PHUFP
'the': -T
'same': SAEUPL
'irregular': EUR/REG
'and': SKP
'aimless': AEUPL/-LS
'movement': PHOFPLT
'passed': PAFD
'the': -T
'flower-bed': TPHRO*UR/PW*ED
'and': SKP
'were': WR
'enveloped': TPH-FLD
'in': TPH
'layer': HRAEUR
'after': AF
'layer': HRAEUR
'of': -F
'green': TKPWRAOEPB
'blue': PWHRU
'vapour,': SRAEURP/A*U/KW-BG
'in': TPH
'which': WEU
'at': AT
'first': TPEUFRT
'their': THAEUR
'bodies': PWO*EDZ
'had': H
'substance': SAUBS
'and': SKP
'a': AEU
'dash': TKARB
'of': -F
'colour,': KHROUR/KW-BG
'but': PWUT
'later': HRAEURT
'both': PWO*T
'substance': SAUBS
'and': SKP
'colour': KHROUR
'dissolved': TKEUS/SOFLD
'in': TPH
'the': -T
'green-blue': TKPWRAOEPB/H-PB/PWHRU
'atmosphere.': ATS/TPAOER/TP-PL
'How': KPA/HOU
'hot': HOT
'it': T
'was!': WAS/SKHRAPL
'So': KPA/SO
'hot': HOT
'that': THA
'even': AOEPB
'the': -T
'thrush': THRURB
'chose': KHOES
'to': TO
'hop,': HOP/KW-BG
'like': HRAOEUBG
'a': AEU
'mechanical': PHEBG/K-L
'bird,': PWEURD/KW-BG
'in': TPH
'the': -T
'shadow': SHOEUD
'of': -F
'the': -T
'flowers,': TPHRO*URS/KW-BG
'with': W
'long': HROPBG
'pauses': PAUS/-S
'between': TWAOEPB
'one': WUPB
'movement': PHOFPLT
'and': SKP
'the': -T
'next;': TPHEGT/STPH*FPLT
'instead': STPHED
'of': -F
'rambling': RAPL/-BLG
'vaguely': SRAEUG/HREU
'the': -T
'white': WHAOEUT
'butterflies': PW*URT/TPHRAOEU/-S
'danced': TKAPBS/-D
'one': WUPB
'above': PWOF
'another,': TPHOER/KW-BG
'making': PHAEUG
'with': W
'their': THAEUR
'white': WHAOEUT
'shifting': SHEUFT/-G
'flakes': TPHRAEUBGS
'the': -T
'outline': AOUT/HRAOEUPB
'of': -F
'a': AEU
'shattered': SHAT/ERD
'marble': PHAERBL
'column': KHRUPL
'above': PWOF
'the': -T
'tallest': TAUL/EFT
'flowers;': TPHRO*URS/STPH*FPLT
'the': -T
'glass': TKPWHRAS
'roofs': RAOFS
'of': -F
'the': -T
'palm': PAPL
'house': HOUS
'shone': SHO*EPB
'as': AS
'if': TP
'a': AEU
'whole': WHOEL
'market': PHARBGT
'full': TPUL
'of': -F
'shiny': SHOEUPB
'green': TKPWRAOEPB
'umbrellas': UPL/PWREL/HRA/-S
'had': H
'opened': OEPD
'in': TPH
'the': -T
'sun;': SUPB/STPH*FPLT
'and': SKP
'in': TPH
'the': -T
'drone': TKROEPB
'of': -F
'the': -T
'aeroplane': A*ER/PHRAEPB/A*U
'the': -T
'voice': SROEUS
'of': -F
'the': -T
'summer': SAOURPL
'sky': SKAOEU
'murmured': PHUR/PHUR/-D
'its': EUTS
'fierce': TPAOERS
'soul.': SOUL/TP-PL
'Yellow': KPA/KWREL/OE
'and': SKP
'black,': PWHRARBGS
'pink': P*EUPBG
'and': SKP
'snow': STPHOE
'white,': WHAOEUT/KW-BG
'shapes': SHAEUPS
'of': -F
'all': AUL
'these': THEZ
'colours,': KHRORS/A*U/KW-BG
'men,': PHEPB/KW-BG
'women,': WEUPL/KW-BG
'and': SKP
'children': KHEURPB
'were': WR
'spotted': SPOT/-D
'for': TPOR
'a': AEU
'second': SEBGD
'upon': POPB
'the': -T
'horizon,': HORZ/O*PB/KW-BG
'and': SKP
'then,': THEPB/KW-BG
'seeing': SAOEG
'the': -T
'breadth': PWR*ED
'of': -F
'yellow': KWREL/OE
'that': THA
'lay': HRAEU
'upon': POPB
'the': -T
'grass,': TKPWRAS/KW-BG
'they': THE
'wavered': WAFR/-D
'and': SKP
'sought': SAUT
'shade': SHAEUD
'beneath': TPHAO*ET
'the': -T
'trees,': TRAOES/KW-BG
'dissolving': TKEUS/SOL/*FG
'like': HRAOEUBG
'drops': TKROPS
'of': -F
'water': WAUR
'in': TPH
'the': -T
'yellow': KWREL/OE
'and': SKP
'green': TKPWRAOEPB
'atmosphere,': ATS/TPAOER/KW-BG
'staining': STAEUPBG
'it': T
'faintly': TPAEUPBLT
'with': W
'red': RED
'and': SKP
'blue.': PWHRU/TP-PL
'It': KPA/T
'seemed': SAOEPLD
'as': AS
'if': TP
'all': AUL
'gross': TKPWROS
'and': SKP
'heavy': HOEUF
'bodies': PWO*EDZ
'had': H
'sunk': S*UPBG
'down': TKOUPB
'in': TPH
'the': -T
'heat': HAOET
'motionless': PHOEGS/-LS
'and': SKP
'lay': HRAEU
'huddled': HUD/-LD
'upon': POPB
'the': -T
'ground,': TKPWROUPBD/KW-BG
'but': PWUT
'their': THAEUR
'voices': SROEUFS
'went': WEPBT
'wavering': WAEUFRG
'from': TPR
'them': THEPL
'as': AS
'if': TP
'they': THE
'were': WR
'flames': TPHRAEUPLS
'lolling': HROL/-G
'from': TPR
'the': -T
'thick': THEUBG
'waxen': WABGS/*EPB
'bodies': PWO*EDZ
'of': -F
'candles.': KAPBD/-LS/TP-PL
'Voices.': KPA/SROEUFS/TP-PL
'Yes,': KPA/KWRE/KW-BG
'voices.': SROEUFS/TP-PL
'Wordless': WORD/WORD/-LS
'voices,': SROEUFS/KW-BG
'breaking': PWRAEG
'the': -T
'silence': SHREPBS
'suddenly': SULD
'with': W
'such': SUFP
'depth': TK*EPT
'of': -F
'contentment,': KAUPBT/*PLT/KW-BG
'such': SUFP
'passion': PAGS
'of': -F
'desire,': STKAOEUR/KW-BG
'or,': OR/KW-BG
'in': TPH
'the': -T
'voices': SROEUFS
'of': -F
'children,': KHEURPB/KW-BG
'such': SUFP
'freshness': TPRERB/-PBS
'of': -F
'surprise;': SPRAOEUS/STPH*FPLT
'breaking': PWRAEG
'the': -T
'silence?': SHREPBS/H-F
'But': KPA/PWUT
'there': THR
'was': WAS
'no': TPHO
'silence;': SHREPBS/STPH*FPLT
'all': AUL
'the': -T
'time': TAOEUPL
'the': -T
'motor': PHOERT
'omnibuses': OPL/TPHEU/PWUS/-S
'were': WR
'turning': TURPBG
'their': THAEUR
'wheels': WHAOELS
'and': SKP
'changing': KHAPBG/-G
'their': THAEUR
'gear;': TKPWAOER/STPH*FPLT
'like': HRAOEUBG
'a': AEU
'vast': SRAFT
'nest': TPHEFT
'of': -F
'Chinese': KHAOEUPBZ
'boxes': PWOBGSZ
'all': AUL
'of': -F
'wrought': WROT
'steel': STAOEL
'turning': TURPBG
'ceaselessly': SAOES/-LS/HREU
'one': WUPB
'within': W-PB
'another': TPHOER
'the': -T
'city': STEU
'murmured;': PHUR/PHUR/-D/STPH*FPLT
'on': OPB
'the': -T
'top': TOP
'of': -F
'which': WEU
'the': -T
'voices': SROEUFS
'cried': KRAOEUD
'aloud': A/HROUD
'and': SKP
'the': -T
'petals': PET/TALS
'of': -F
'myriads': PHEUR/KWRAD/-S
'of': -F
'flowers': TPHRO*URS
'flashed': TPHRARBD
'their': THAEUR
'colours': KHRORS/A*U
'into': TPHAO
'the': -T
'air.': AEUR/TP-PL
