The Beetle Who Went on His Travels

'There': KPA/THR
'it': T
'would': WO
'be': -B
'the': -T
'death': TK*T
'of': -F
'me."': PHE/TP-PL/KR-GS
'"But': KW-GS/KPA*/PWUT
'I': EU
'shall': SHAL
'try': TREU
'to': TO
'get': TKPWET
'so': SO
'far,"': TPAR/KW-BG/KR-GS
'said': SED
'the': -T
'beetle,': PWAO*ELT/KW-BG
'and': SKP
'he': HE
'walked': WAUBGD
'off': OF
'without': WOUT
'taking': TAEUG
'any': TPHEU
'formal': TPORL
'leave,': HREF/KW-BG
'which': WEU
'is': S
'considered': KR-D
'a': AEU
'polite': PHRAOEUT
'thing': THEUPBG
'to': TO
'do.': TKO/TP-PL
'When': KPA/WHEPB
'he': HE
'arrived': A/RAOEUFD
'at': AT
'the': -T
'ditch,': TKEUFP/KW-BG
'he': HE
'met': PHET
'several': SEFRL
'friends,': TPREPBDZ/KW-BG
'all': AUL
'them': THEPL
'beetles;': PWAOET/-LS/STPH*FPLT
'"We': KW-GS/KPA*/WE
'live': HREUF
'here,"': HAOERBGS/KR-GS
'they': THE
'said,': SED/KW-BG
'"and': KW-GS/SKP
'we': WE
'are': R
'very': SRE
'comfortable.': K-BL/TP-PL
'May': PHA*EU
'we': WE
'ask': SK
'you': U
'to': TO
'step': STEP
'down': TKOUPB
'into': TPHAO
'this': TH
'rich': REUFP
'mud,': PHUD/KW-BG
'you': U
'must': PHUFT
'be': -B
'fatigued': TPA/TAOEGD
'after': AF
'your': KWROUR
'journey."': SKWRURPB/TP-PL/KR-GS
'"Certainly,"': KW-GS/KPA*/SERPBL/KW-BG/KR-GS
'said': SED
'the': -T
'beetle,': PWAO*ELT/KW-BG
'"I': KW-GS/EU
'shall': SHAL
'be': -B
'most': PHOFT
'happy;': HAEP/STPH*FPLT
'I': EU
'have': SR
'been': PW-PB
'exposed': EBGS/POED/-D
'to': TO
'the': -T
'rain,': RAEUPB/KW-BG
'and': SKP
'have': SR
'had': H
'to': TO
'lie': HRAOEU
'upon': POPB
'linen,': HREUPB/-PB/KW-BG
'and': SKP
'cleanliness': KHREPB/HR*EUPBS
'is': S
'a': AEU
'thing': THEUPBG
'that': THA
'greatly': TKPWRAELT
'exhausts': KPAUFTS
'me;': PHE/STPH*FPLT
'I': EU
'have': SR
'also': HR-S
'pains': PAEUPBS
'in': TPH
'one': WUPB
'of': -F
'my': PHEU
'wings': WEUPBGS
'from': TPR
'standing': STAPBG
'in': TPH
'the': -T
'draught': TKRAUFT
'under': TPH-PB
'a': AEU
'piece': PAOES
'of': -F
'broken': PWROEPB
'crockery.': KROBG/REU/TP-PL
'It': KPA/T
'is': S
'really': R-L
'quite': KWAOEUT
'refreshing': RE/TPRERB/-G
'to': TO
'be': -B
'with': W
'one's': W*UPBS
'own': OEPB
'kindred': KEUPBD/RED
'again."': TKPWEPB/TP-PL/KR-GS
'"Perhaps': KW-GS/KPA*/PRAPS
'you': U
'came': KAEUPL
'from': TPR
'a': AEU
'dung-heap,"': TKUPBG/H-PB/HAOEP/KW-BG/KR-GS
'observed': OEBD
'the': -T
'oldest': OELD/EFT
'of': -F
'them.': THEPL/TP-PL
'"No,': KW-GS/KPA*/TPHO/KW-BG
'indeed,': TPHAOEPBD/KW-BG
'I': EU
'came': KAEUPL
'from': TPR
'a': AEU
'much': PHUFP
'grander': TKPWRAPBD/*ER
'place,"': PHRAEUS/KW-BG/KR-GS
'replied': RE/PHRAOEUD
'the': -T
'beetle;': PWAO*ELT/STPH*FPLT
'"I': KW-GS/EU
'came': KAEUPL
'from': TPR
'the': -T
'emperor's': EPL/ROR/AES
'stable,': STAEURBLGS
'where': W-R
'I': EU
'was': WAS
'born,': PWORPB/KW-BG
'with': W
'golden': TKPWOELD/*EPB
'shoes': SHAOUS
'on': OPB
'my': PHEU
'feet.': TPAOET/TP-PL
'I': EU
'am': APL
'travelling': TRAFL/HREUPBG
'on': OPB
'a': AEU
'secret': SKRET
'embassy,': EPL/PWAES/KW-BG
'but': PWUT
'you': U
'must': PHUFT
'not': TPHOT
'ask': SK
'me': PHE
'any': TPHEU
'questions,': KWES/KW-BG
'for': TPOR
'I': EU
'cannot': SK-PBT
'betray': PWE/TRAEU
'my': PHEU
'secret."': SKRET/TP-PL/KR-GS
'Then': KPA/THEPB
'the': -T
'beetle': PWAO*ELT
'stepped': STEPD
'down': TKOUPB
'into': TPHAO
'the': -T
'rich': REUFP
'mud,': PHUD/KW-BG
'where': W-R
'sat': SAT
'three': THRAOE
'young-lady': KWRUPBG/H-PB/HRA*ED
'beetles,': PWAOET/-LS/KW-BG
'who': WHO
'tittered,': T*/*EU/T*/T*/*ER/-D/KW-BG
'because': PWAU
'they': THE
'did': TK
'not': TPHOT
'know': TPHOE
'what': WHA
'to': TO
'say.': SAEU/TP-PL
'"None': KW-GS/KPA*/TPHOPB
'of': -F
'them': THEPL
'are': R
'engaged': EPB/TKPWAEUPBLGD
'yet,"': KWRET/KW-BG/KR-GS
'said': SED
'their': THAEUR
'mother,': PHOER/KW-BG
'and': SKP
'the': -T
'beetle': PWAO*ELT
'maidens': PHAEUD/*EPB/-S
'tittered': T*/*EU/T*/T*/*ER/-D
'again,': STKPWERPBGS
'this': TH
'time': TAOEUPL
'quite': KWAOEUT
'in': TPH
'confusion.': KAUFGS/TP-PL
'"I': KW-GS/EU
'have': SR
'never': TPHEFR
'seen': SAOEPB
'greater': TKPWRAERT
'beauties,': PWAOUTS/KW-BG
'even': AOEPB
'in': TPH
'the': -T
'royal': ROEUL
'stables,"': STAEUBLS/KW-BG/KR-GS
'exclaimed': SKHRAEUPLD
'the': -T
'beetle,': PWAO*ELT/KW-BG
'who': WHO
'was': WAS
'now': TPHOU
'resting': REFT/-G
'himself.': HEUPLS/TP-PL
'"Don't': KPA/KW-GS/TKOEPBT
'spoil': SPOEUL
'my': PHEU
'girls,"': TKPWEURLS/KW-BG/KR-GS
'said': SED
'the': -T
'mother;': PHOER/STPH*FPLT
'"and': KW-GS/SKP
'don't': TKOEPBT
'talk': TAUBG
'to': TO
'them,': THEPL/KW-BG
'pray,': PRAEU/KW-BG
'unless': TPH-LS
'you': U
'have': SR
'serious': SAOERS
'intentions."': EUPB/TEPBGS/-S/TP-PL/KR-GS
'But': KPA/PWUT
'of': -F
'course': KORS
'the': -T
'beetle's': PWAO*ELT/AES
'intentions': EUPB/TEPBGS/-S
'were': WR
'serious,': SAOERS/KW-BG
'and': SKP
'after': AF
'a': AEU
'while': WHAOEUL
'our': OUR
'friend': TPREPBD
'was': WAS
'engaged.': EPB/TKPWAEUPBLGD/TP-PL
'The': KPA/-T
'mother': PHOER
'gave': TKPWAEUF
'them': THEPL
'her': HER
'blessing,': PWHR*EFG/KW-BG
'and': SKP
'all': AUL
'the': -T
'other': OER
'beetles': PWAOET/-LS
'cried': KRAOEUD
'"hurrah."': KW-GS/HUR/RA/TP-PL/KR-GS
'Immediately': KPA/PHAOELD
'after': AF
'the': -T
'betrothal': PWE/TRO/THAL
'came': KAEUPL
'the': -T
'marriage,': PHAERPBLG/KW-BG
'for': TPOR
'there': THR
'was': WAS
'no': TPHO
'reason': R-PB
'to': TO
'delay.': TKHRAEU/TP-PL
'The': KPA/-T
'following': TPOLG
'day': TKAEU
'passed': PAFD
'very': SRE
'pleasantly,': PHRES/APBT/HREU/KW-BG
'and': SKP
'the': -T
'next': TPHEGT
'was': WAS
'tolerably': TOR/RABL
'comfortable;': K-BL/STPH*FPLT
'but': PWUT
'on': OPB
'the': -T
'third': THEURD
'it': T
'became': PWAEUPL
'necessary': TPHES
'for': TPOR
'him': HEUPL
'to': TO
'think': THEU
'of': -F
'getting': TKPWEGT
'food': TPAOD
'for': TPOR
'his': HEUS
'wife,': WAOEUF/KW-BG
'and,': SKP/KW-BG
'perhaps,': PRAPS/KW-BG
'for': TPOR
'children.': KHEURPB/TP-PL
'"I': KW-GS/EU
'have': SR
'allowed': HRO*UD
'myself': PHAO*EUS
'to': TO
'be': -B
'taken': TAEPB
'in,"': TPH/KW-BG/KR-GS
'said': SED
'our': OUR
'beetle': PWAO*ELT
'to': TO
'himself,': HEUPLS/KW-BG
'"and': KW-GS/SKP
'now': TPHOU
'there's': THR-S
'nothing': TPHOG
'to': TO
'be': -B
'done': TKOPB
'but': PWUT
'to': TO
'take': TAEUBG
'them': THEPL
'in,': TPH/KW-BG
'in': TPH
'return."': RURPB/TP-PL/KR-GS
'No': KPA/TPHO
'sooner': SAORPB
'said': SED
'than': THAPB
'done.': TKOPB/TP-PL
'Away': KPA/WA*EU
'he': HE
'went,': WEPBT/KW-BG
'and': SKP
'stayed': STAEUD
'away': WA*EU
'all': AUL
'day': TKAEU
'and': SKP
'all': AUL
'night,': TPHAOEUT/KW-BG
'and': SKP
'his': HEUS
'wife': WAOEUF
'remained': RE/PHAEUPBD
'behind': HEUPBD
'a': AEU
'forsaken': TPAUR/SA*EUPB
'widow.': WO*EUD/TP-PL
'"Oh,"': KW-GS/KPA*/O*ERBGS/KW-BG/KR-GS
'said': SED
'the': -T
'other': OER
'beetles,': PWAOET/-LS/KW-BG
'"this': KW-GS/TH
'fellow': TP*EL
'that': THA
'we': WE
'have': SR
'received': SAOEFD
'into': TPHAO
'our': OUR
'family': TPAEPL
'is': S
'nothing': TPHOG
'but': PWUT
'a': AEU
'complete': KPHRAOET
'vagabond.': SRAG/PWOPBD/TP-PL
'He': KPA/HE
'has': HAS
'gone': TKPWOPB
'away': WA*EU
'and': SKP
'left': HREFT
'his': HEUS
'wife': WAOEUF
'a': AEU
'burden': PWURD
'upon': POPB
'our': OUR
'hands."': HAPBDZ/TP-PL/KR-GS
'"Well,': KW-GS/KPA*/WEL/KW-BG
'she': SHE
'can': K
'be': -B
'unmarried': UPB/PHAEUR/EUD
'again,': STKPWERPBGS
'and': SKP
'remain': RAEUPL
'here': HAOER
'with': W
'my': PHEU
'other': OER
'daughters,"': TKAURS/KW-BG/KR-GS
'said': SED
'the': -T
'mother.': PHOER/TP-PL
'"Fie': KW-GS/TP*P/AO*E
'on': OPB
'the': -T
'villain': SREUL/AEUPB
'that': THA
'forsook': TPOR/SAOBG
'her!"': HER/SKHRAPL/KR-GS
'In': KPA/TPH
'the': -T
'mean': PHAOEPB
'time': TAOEUPL
'the': -T
'beetle,': PWAO*ELT/KW-BG
'who': WHO
'had': H
'sailed': SAEULD
'across': KRAOS
'the': -T
'ditch': TKEUFP
'on': OPB
'a': AEU
'cabbage': KAB/APBLG
'leaf,': HRAOEF/KW-BG
'had': H
'been': PW-PB
'journeying': SKWRURPB/EUG
'on': OPB
'the': -T
'other': OER
'side.': SAOEUD/TP-PL
'In': KPA/TPH
'the': -T
'morning': PHORPBG
'two': TWO
'persons': PERPBS
'came': KAEUPL
'up': UP
'to': TO
'the': -T
'ditch.': TKEUFP/TP-PL
'When': KPA/WHEPB
'they': THE
'saw': SAU
'him': HEUPL
'they': THE
'took': TAOBG
'him': HEUPL
'up': UP
'and': SKP
'turned': TURPBD
'him': HEUPL
'over': OEFR
'and': SKP
'over,': OEFR/KW-BG
'looking': HRAOG
'very': SRE
'learned': HRERPBD
'all': AUL
'the': -T
'time,': TAOEUPL/KW-BG
'especially': EPS
'one,': WUPB/KW-BG
'who': WHO
'was': WAS
'a': AEU
'boy.': PWOEU/TP-PL
'"Allah': KW-GS/AL/HRA
'sees': SAO*ES
'the': -T
'black': PWHRABG
'beetle': PWAO*ELT
'in': TPH
'the': -T
'black': PWHRABG
'stone,': STOEPB/KW-BG
'and': SKP
'the': -T
'black': PWHRABG
'rock.': ROBG/TP-PL
'Is': KPA/S
'not': TPHOT
'that': THA
'written': WREUPB
'in': TPH
'the': -T
'Koran?"': KOR/A*PB/H-F/KR-GS
'he': HE
'asked.': SK-D/TP-PL
'Then': KPA/THEPB
'he': HE
'translated': THRAEUTD
'the': -T
'beetle's': PWAO*ELT/AES
'name': TPHAEUPL
'into': TPHAO
'Latin,': HRA/TEUPB/KW-BG
'and': SKP
'said': SED
'a': AEU
'great': TKPWRAET
'deal': TKAOEL
'upon': POPB
'the': -T
'creature's': KRAOEFP/AES
'nature': TPHAEURT
'and': SKP
'history.': HEUFRT/TP-PL
'The': KPA/-T
'second': SEBGD
'person,': PERPB/KW-BG
'who': WHO
'was': WAS
'older': OERLD
'and': SKP
'a': AEU
'scholar,': SKHRAR/KW-BG
'proposed': PROEPD
'to': TO
'carry': KAER
'the': -T
'beetle': PWAO*ELT
'home,': HOEPL/KW-BG
'as': AS
'they': THE
'wanted': WAPBTD
'just': SKWRUFT
'such': SUFP
'good': TKPWAOD
'specimens': SPEPLS
'as': AS
'this.': TH/TP-PL
'Our': KPA/OUR
'beetle': PWAO*ELT
'considered': KR-D
'this': TH
'speech': SPAOEFP
'a': AEU
'great': TKPWRAET
'insult,': EUPB/SULT/KW-BG
'so': SO
'he': HE
'flew': TPHRAOU
'suddenly': SULD
'out': OUT
'of': -F
'the': -T
'speaker's': SPAOERBG/AES
'hand.': HAPBD/TP-PL
'His': KPA/HEUS
'wings': WEUPBGS
'were': WR
'dry': TKRAOEU
'now,': TPHOURBGS
'so': SO
'they': THE
'carried': KAERD
'him': HEUPL
'to': TO
'a': AEU
'great': TKPWRAET
'distance,': STKAPBS/KW-BG
'till': TEUL
'at': AT
'last': HRAFT
'he': HE
'reached': RAOEFPD
'a': AEU
'hothouse,': HOT/TK-LS/HOUS/KW-BG
'where': W-R
'a': AEU
'sash': SARB
'of': -F
'the': -T
'glass': TKPWHRAS
'roof': RAOF
'was': WAS
'partly': PARLT
'open,': OEP/KW-BG
'so': SO
'he': HE
'quietly': KWAO*EULT
'slipped': SHREUPD
'in': TPH
'and': SKP
'buried': PWUR/EUD
'himself': HEUPLS
'in': TPH
'the': -T
'warm': WARPL
'earth.': *ERT/TP-PL
'"It': KW-GS/KPA*/T
'is': S
'very': SRE
'comfortable': K-BL
'here,"': HAOERBGS/KR-GS
'he': HE
'said': SED
'to': TO
'himself,': HEUPLS/KW-BG
'and': SKP
'soon': SAOPB
'after': AF
'fell': TPEL
'asleep.': A/SHRAOEP/TP-PL
'Then': KPA/THEPB
'he': HE
'dreamed': TKREPLD
'that': THA
'the': -T
'emperor's': EPL/ROR/AES
'horse': HORS
'was': WAS
'dying,': TKAOEUG/KW-BG
'and': SKP
'had': H
'left': HREFT
'him': HEUPL
'his': HEUS
'golden': TKPWOELD/*EPB
'shoes,': SHAOUS/KW-BG
'and': SKP
'also': HR-S
'promised': PROPLS/-D
'that': THA
'he': HE
'should': SHO
'have': SR
'two': TWO
'more.': PHOR/TP-PL
'All': KPA/AUL
'this': TH
'was': WAS
'very': SRE
'delightful,': TKHRAOEUT/-FL/KW-BG
'and': SKP
'when': WHEPB
'the': -T
'beetle': PWAO*ELT
'woke': WOEBG
'up': UP
'he': HE
'crept': KREPT
'forth': TPO*RT
'and': SKP
'looked': HRAOBGD
'around': ARPBD
'him.': HEUPL/TP-PL
'What': KPA/WHA
'a': AEU
'splendid': SPHREPB/TKEUD
'place': PHRAEUS
'the': -T
'hothouse': HOT/TK-LS/HOUS
'was!': WAS/SKHRAPL
'At': KPA/AT
'the': -T
'back,': PWABG/KW-BG
'large': HRARPBLG
'palm-trees': PAPL/H-PB/TRAOES
'were': WR
'growing;': TKPWROEG/STPH*FPLT
'and': SKP
'the': -T
'sunlight': SULGT
'made': PHAED
'the': -T
'leaves—look': HREFS/EPL/TKA*RB/HRAOBG
'quite': KWAOEUT
'glossy;': TKPWHROS/SEU/STPH*FPLT
'and': SKP
'beneath': TPHAO*ET
'them': THEPL
'what': WHA
'a': AEU
'profusion': PRO/TPAOUGS
'of': -F
'luxuriant': HRUBGS/UR/KWRAPBT
'green,': TKPWRAOEPB/KW-BG
'and': SKP
'of': -F
'flowers': TPHRO*URS
'red': RED
'like': HRAOEUBG
'flame,': TPHRAEUPL/KW-BG
'yellow': KWREL/OE
'as': AS
'amber,': APL/PWER/KW-BG
'or': OR
'white': WHAOEUT
'as': AS
'new-fallen': TPHU/H-PB/TPAUPBL
'snow!': STPHOE/SKHRAPL
'"What': KW-GS/KPA*/WHA
'a': AEU
'wonderful': WUFL
'quantity': KWAPBT
'of': -F
'plants,"': PHRAPBTS/KW-BG/KR-GS
'cried': KRAOEUD
'the': -T
'beetle;': PWAO*ELT/STPH*FPLT
'"how': KW-GS/HOU
'good': TKPWAOD
'they': THE
'will': HR
'taste': TAEUFT
'when': WHEPB
'they': THE
'are': R
'decayed!': TKAOE/KAEUD/SKHRAPL
'This': KPA/TH
'is': S
'a': AEU
'capital': KPAL
'store-room.': STOR/H-PB/RAOPL/TP-PL
'There': KPA/THR
'must': PHUFT
'certainly': SERPBL
'be': -B
'some': SOPL
'relations': RELGS/-S
'of': -F
'mine': PHAOEUPB
'living': HREUFG
'here;': HAOER/STPH*FPLT
'I': EU
'will': HR
'just': SKWRUFT
'see': SAOE
'if': TP
'I': EU
'can': K
'find': TPAOEUPBD
'any': TPHEU
'one': WUPB
'with': W
'whom': WHOPL
'I': EU
'can': K
'associate.': SOERBT/TP-PL
'I'm': AOEUPL
'proud,': PROUD/KW-BG
'certainly;': SERPBL/STPH*FPLT
'but': PWUT
'I'm': AOEUPL
'also': HR-S
'proud': PROUD
'of': -F
'being': -BG
'so."': SO/TP-PL/KR-GS
'Then': KPA/THEPB
'he': HE
'prowled': PROULD
'about': PW
'in': TPH
'the': -T
'earth,': *ERT/KW-BG
'and': SKP
'thought': THAUT
'what': WHA
'a': AEU
'pleasant': PHREFPBT
'dream': TKRAOEPL
'that': THA
'was': WAS
'about': PW
'the': -T
'dying': TKAOEUG
'horse,': HORS/KW-BG
'and': SKP
'the': -T
'golden': TKPWOELD/*EPB
'shoes': SHAOUS
'he': HE
'had': H
'inherited.': EUPB/HERTD/TP-PL
'Suddenly': KPA/SULD
'a': AEU
'hand': HAPBD
'seized': SAOEZ/-D
'the': -T
'beetle,': PWAO*ELT/KW-BG
'and': SKP
'squeezed': SKWAOEZ/-D
'him,': HEUPL/KW-BG
'and': SKP
'turned': TURPBD
'him': HEUPL
'round': ROUPBD
'and': SKP
'round.': ROUPBD/TP-PL
'The': KPA/-T
'gardener's': TKPWARD/TPHER/AES
'little': HREUL
'son': SOPB
'and': SKP
'his': HEUS
'playfellow': PHRAEU/TK-LS/TPO*EUL
'had': H
'come': KOPL
'into': TPHAO
'the': -T
'hothouse,': HOT/TK-LS/HOUS/KW-BG
'and,': SKP/KW-BG
'seeing': SAOEG
'the': -T
'beetle,': PWAO*ELT/KW-BG
'wanted': WAPBTD
'to': TO
'have': SR
'some': SOPL
'fun': TPUPB
'with': W
'him.': HEUPL/TP-PL
'First,': KPA/TPEUFRT/KW-BG
'he': HE
'was': WAS
'wrapped,': WRAPD/KW-BG
'in': TPH
'a': AEU
'vine-leaf,': SRAOEUPB/H-PB/HRAOEF/KW-BG
'and': SKP
'put': PUT
'into': TPHAO
'a': AEU
'warm': WARPL
'trousers'': TROUZ/ERS/AE
'pocket.': POBGT/TP-PL
'He': KPA/HE
'twisted': TWEUFTD
'and': SKP
'turned': TURPBD
'about': PW
'with': W
'all': AUL
'his': HEUS
'might,': PHAOEUT/KW-BG
'but': PWUT
'he': HE
'got': TKPWOT
'a': AEU
'good': TKPWAOD
'squeeze': SKWAOEZ
'from': TPR
'the': -T
'boy's': PWOEU/AES
'hand,': HAPBD/KW-BG
'as': AS
'a': AEU
'hint': HEUPBT
'for': TPOR
'him': HEUPL
'to': TO
'keep': KAOEP
'quiet.': KWAO*EUT/TP-PL
'Then': KPA/THEPB
'the': -T
'boy': PWOEU
'went': WEPBT
'quickly': KWEULG
'towards': TORDZ
'a': AEU
'lake': HRAEUBG
'that': THA
'lay': HRAEU
'at': AT
'the': -T
'end': EPBD
'of': -F
'the': -T
'garden.': TKPWA*RPB/TP-PL
'Here': KPA/HAOER
'the': -T
'beetle': PWAO*ELT
'was': WAS
'put': PUT
'into': TPHAO
'an': APB
'old': OLD
'broken': PWROEPB
'wooden': WAOD/EPB
'shoe,': SHAOU/KW-BG
'in': TPH
'which': WEU
'a': AEU
'little': HREUL
'stick': STEUBG
'had': H
'been': PW-PB
'fastened': TPAS/-PBD
'upright': AUP/RAOEUGT
'for': TPOR
'a': AEU
'mast,': PHAFT/KW-BG
'and': SKP
'to': TO
'this': TH
'mast': PHAFT
'the': -T
'beetle': PWAO*ELT
'was': WAS
'bound': PWOUPBD
'with': W
'a': AEU
'piece': PAOES
'of': -F
'worsted.': WORS/TED/TP-PL
'Now': KPA/TPHOU
'he': HE
'was': WAS
'a': AEU
'sailor,': SAEU/HROR/KW-BG
'and': SKP
'had': H
'to': TO
'sail': SAEUL
'away.': WA*EU/TP-PL
'The': KPA/-T
'lake': HRAEUBG
'was': WAS
'not': TPHOT
'very': SRE
'large,': HRARPBLG/KW-BG
'but': PWUT
'to': TO
'the': -T
'beetle': PWAO*ELT
'it': T
'seemed': SAOEPLD
'an': APB
'ocean,': OEGS/KW-BG
'and': SKP
'he': HE
'was': WAS
'so': SO
'astonished': A/STOPB/EURBD
'at': AT
'its': EUTS
'size': SAOEUZ
'that': THA
'he': HE
'fell': TPEL
'over': OEFR
'on': OPB
'his': HEUS
'back,': PWABG/KW-BG
'and': SKP
'kicked': KEUBGD
'out': OUT
'his': HEUS
'legs.': HREGS/TP-PL
'Then': KPA/THEPB
'the': -T
'little': HREUL
'ship': SHEUP
'sailed': SAEULD
'away;': WA*EU/STPH*FPLT
'sometimes': STAOEUPLS
'the': -T
'current': KURPBT
'of': -F
'the': -T
'water': WAUR
'seized': SAOEZ/-D
'it,': T/KW-BG
'but': PWUT
'whenever': WHEFR
'it': T
'went': WEPBT
'too': TAO
'far': TPAR
'from': TPR
'the': -T
'shore': SHOR
'one': WUPB
'of': -F
'the': -T
'boys': PWOEUS
'turned': TURPBD
'up': UP
'his': HEUS
'trousers,': TROUZ/ERS/KW-BG
'and': SKP
'went': WEPBT
'in': TPH
'after': AF
'it,': T/KW-BG
'and': SKP
'brought': PWRAUT
'it': T
'back': PWABG
'to': TO
'land.': HRAPBD/TP-PL
'But': KPA/PWUT
'at': AT
'last,': HRAFT/KW-BG
'just': SKWRUFT
'as': AS
'it': T
'went': WEPBT
'merrily': PHER/HREU
'out': OUT
'again,': STKPWERPBGS
'the': -T
'two': TWO
'boys': PWOEUS
'were': WR
'called,': KAULD/KW-BG
'and': SKP
'so': SO
'angrily,': APBG/REU/HREU/KW-BG
'that': THA
'they': THE
'hastened': HAEUS/-PBD
'to': TO
'obey,': OE/PWAEU/KW-BG
'and': SKP
'ran': RAPB
'away': WA*EU
'as': AS
'fast': TPAFT
'as': AS
'they': THE
'could': KO
'from': TPR
'the': -T
'pond,': POPBD/KW-BG
'so': SO
'that': THA
'the': -T
'little': HREUL
'ship': SHEUP
'was': WAS
'left': HREFT
'to': TO
'its': EUTS
'fate.': TPAEUT/TP-PL
'It': KPA/T
'was': WAS
'carried': KAERD
'away': WA*EU
'farther': TPA*RT
'and': SKP
'farther': TPA*RT
'from': TPR
'the': -T
'shore,': SHOR/KW-BG
'till': TEUL
'it': T
'reached': RAOEFPD
'the': -T
'open': OEP
'sea.': SAE/TP-PL
'This': KPA/TH
'was': WAS
'a': AEU
'terrible': TERBL
'prospect': PRO/SPEBGT
'for': TPOR
'the': -T
'beetle,': PWAO*ELT/KW-BG
'for': TPOR
'he': HE
'could': KO
'not': TPHOT
'escape': SKAEP
'in': TPH
'consequence': KWEPBS
'of': -F
'being': -BG
'bound': PWOUPBD
'to': TO
'the': -T
'mast.': PHAFT/TP-PL
'Then': KPA/THEPB
'a': AEU
'fly': TPHRAOEU
'came': KAEUPL
'and': SKP
'paid': PAEUD
'him': HEUPL
'a': AEU
'visit.': SREUFT/TP-PL
'"What': KW-GS/KPA*/WHA
'beautiful': PWAOUFL
'weather,"': WHR*/KW-BG/KR-GS
'said': SED
'the': -T
'fly;': TPHRAOEU/STPH*FPLT
'"I': KW-GS/EU
'shall': SHAL
'rest': REFT
'here': HAOER
'and': SKP
'sun': SUPB
'myself.': PHAO*EUS/TP-PL
'You': KPA/U
'must': PHUFT
'have': SR
'a': AEU
'pleasant': PHREFPBT
'time': TAOEUPL
'of': -F
'it."': T/TP-PL/KR-GS
'"You': KW-GS/KPA*/U
'speak': SPAOEBG
'without': WOUT
'knowing': TPHOEG
'the': -T
'facts,"': TPABGZ/KW-BG/KR-GS
'replied': RE/PHRAOEUD
'the': -T
'beetle;': PWAO*ELT/STPH*FPLT
'"don't': KW-GS/TKOEPBT
'you': U
'see': SAOE
'that': THA
'I': EU
'am': APL
'a': AEU
'prisoner?"': PREURZ/H-F/KR-GS
'"Ah,': KW-GS/KPA*/AERBGS
'but': PWUT
'I'm': AOEUPL
'not': TPHOT
'a': AEU
'prisoner,"': PREURZ/KW-BG/KR-GS
'remarked': RARBGD
'the': -T
'fly,': TPHRAOEU/KW-BG
'and': SKP
'away': WA*EU
'he': HE
'flew.': TPHRAOU/TP-PL
'"Well,': KW-GS/KPA*/WEL/KW-BG
'now': TPHOU
'I': EU
'know': TPHOE
'the': -T
'world,"': WORLD/KW-BG/KR-GS
'said': SED
'the': -T
'beetle': PWAO*ELT
'to': TO
'himself;': HEUPLS/STPH*FPLT
'"it's': KW-GS/T-S
'an': APB
'abominable': A/PWOPL/TPHABL
'world;': WORLD/STPH*FPLT
'I'm': AOEUPL
'the': -T
'only': OEPBL
'respectable': R-PT/-BL
'person': PERPB
'in': TPH
'it.': T/TP-PL
'First,': KPA/TPEUFRT/KW-BG
'they': THE
'refuse': REF/AOUS
'me': PHE
'my': PHEU
'golden': TKPWOELD/*EPB
'shoes;': SHAOUS/STPH*FPLT
'then': THEPB
'I': EU
'have': SR
'to': TO
'lie': HRAOEU
'on': OPB
'damp': TKAFRP
'linen,': HREUPB/-PB/KW-BG
'and': SKP
'to': TO
'stand': STAPBD
'in': TPH
'a': AEU
'draught;': TKRAUFT/STPH*FPLT
'and': SKP
'to': TO
'crown': KROUPB
'all,': AUL/KW-BG
'they': THE
'fasten': TPAFPB
'a': AEU
'wife': WAOEUF
'upon': POPB
'me.': PHE/TP-PL
'Then,': KPA/THEPB/KW-BG
'when': WHEPB
'I': EU
'have': SR
'made': PHAED
'a': AEU
'step': STEP
'forward': TPAORD
'in': TPH
'the': -T
'world,': WORLD/KW-BG
'and': SKP
'found': TPOUPBD
'out': OUT
'a': AEU
'comfortable': K-BL
'position,': POGS/KW-BG
'just': SKWRUFT
'as': AS
'I': EU
'could': KO
'wish': WEURB
'it': T
'to': TO
'be,': -B/KW-BG
'one': WUPB
'of': -F
'these': THEZ
'human': HAOUPL
'boys': PWOEUS
'comes': KOPLS
'and': SKP
'ties': TAOEUZ
'me': PHE
'up,': UP/KW-BG
'and': SKP
'leaves': HREFS
'me': PHE
'to': TO
'the': -T
'mercy': PHER/SEU
'of': -F
'the': -T
'wild': WAOEULD
'waves,': WAFS/KW-BG
'while': WHAOEUL
'the': -T
'emperor's': EPL/ROR/AES
'favorite': TPAEUFRT
'horse': HORS
'goes': TKPW-S
'prancing': PRAPBS/-G
'about': PW
'proudly': PROUD/HREU
'on': OPB
'his': HEUS
'golden': TKPWOELD/*EPB
'shoes.': SHAOUS/TP-PL
'This': KPA/TH
'vexes': SREBGS/-S
'me': PHE
'more': PHOR
'than': THAPB
'anything.': TPHEUG/TP-PL
'But': KPA/PWUT
'it': T
'is': S
'useless': AOUFLS
'to': TO
'look': HRAOBG
'for': TPOR
'sympathy': SEUPL/THEU
'in': TPH
'this': TH
'world.': WORLD/TP-PL
'My': KPA/PHEU
'career': KRAOER
'has': HAS
'been': PW-PB
'very': SRE
'interesting,': TR-G/KW-BG
'but': PWUT
'what's': WHATS
'the': -T
'use': AOUS
'of': -F
'that': THA
'if': TP
'nobody': TPHOEB
