The Raven
'sat': SAT
'down,': TKOUPB/KW-BG
'and': SKP
'the': -T
'man': PHAPB
'brought': PWRAUT
'out': OUT
'the': -T
'bread,': PWRAED/KW-BG
'meat,': PHAET/KW-BG
'and': SKP
'wine,': WAOEUPB/KW-BG
'which': WEU
'although': HR*T
'he': HE
'had': H
'eaten': AOET/EPB
'and': SKP
'drunk': TKR*UPBG
'of': -F
'them,': THEPL/KW-BG
'were': WR
'still': STEUL
'unconsumed.': UPB/KAOUPLD/TP-PL
'The': KPA/-T
'giant': SKWRAOEUPBT
'was': WAS
'pleased': PHREFD
'with': W
'the': -T
'good': TKPWAOD
'cheer,': KHAOER/KW-BG
'and': SKP
'ate': AEUT
'and': SKP
'drank': TKRA*PBG
'to': TO
'his': HEUS
'heart's': HART/AES
'content.': KAUPBT/TP-PL
'When': KPA/WHEPB
'he': HE
'had': H
'finished': TP*EURBD
'his': HEUS
'supper': SAOURP
'the': -T
'man': PHAPB
'asked': SK-D
'him': HEUPL
'if': TP
'he': HE
'could': KO
'direct': TKREBGT
'him': HEUPL
'to': TO
'the': -T
'castle': KAFL
'of': -F
'Stromberg.': S*P/T*/R*/O*/PH*/PWERG/TP-PL
'The': KPA/-T
'giant': SKWRAOEUPBT
'said,': SED/KW-BG
''I': A*E/EU
'will': HR
'look': HRAOBG
'on': OPB
'my': PHEU
'map;': PHAP/STPH*FPLT
'on': OPB
'it': T
'are': R
'marked': PHARBGD
'all': AUL
'the': -T
'towns,': TOUPBS/KW-BG
'villages,': SREULGS/KW-BG
'and': SKP
'houses.'': HO*UFS/TP-PL/AE
'So': KPA/SO
'he': HE
'fetched': TPEFP/-D
'his': HEUS
'map,': PHAP/KW-BG
'and': SKP
'looked': HRAOBGD
'for': TPOR
'the': -T
'castle,': KAFL/KW-BG
'but': PWUT
'could': KO
'not': TPHOT
'find': TPAOEUPBD
'it.': T/TP-PL
''Never': A*E/KPA*/TPHEFR
'mind,'': PHAOEUPBD/KW-BG/AE
'he': HE
'said,': SED/KW-BG
''I': A*E/EU
'have': SR
'larger': HRAERPBLG
'maps': PHAPS
'upstairs': AUP/STAEURS
'in': TPH
'the': -T
'cupboard,': KUP/PWAORD/KW-BG
'we': WE
'will': HR
'look': HRAOBG
'on': OPB
'those,'': THOZ/KW-BG/AE
'but': PWUT
'they': THE
'searched': SEFRPBD
'in': TPH
'vain,': SRA*EUPB/KW-BG
'for': TPOR
'the': -T
'castle': KAFL
'was': WAS
'not': TPHOT
'marked': PHARBGD
'even': AOEPB
'on': OPB
'these.': THEZ/TP-PL
'The': KPA/-T
'man': PHAPB
'now': TPHOU
'thought': THAUT
'he': HE
'should': SHO
'like': HRAOEUBG
'to': TO
'continue': T-PB
'his': HEUS
'journey,': SKWRURPB/KW-BG
'but': PWUT
'the': -T
'giant': SKWRAOEUPBT
'begged': PWEGD
'him': HEUPL
'to': TO
'remain': RAEUPL
'for': TPOR
'a': AEU
'day': TKAEU
'or': OR
'two': TWO
'longer': HRORPBG
'until': TPH-L
'the': -T
'return': RURPB
'of': -F
'his': HEUS
'brother,': PWROER/KW-BG
'who': WHO
'was': WAS
'away': WA*EU
'in': TPH
'search': SEFRPB
'of': -F
'provisions.': PRO/SREUGS/-S/TP-PL
'When': KPA/WHEPB
'the': -T
'brother': PWROER
'came': KAEUPL
'home,': HOEPL/KW-BG
'they': THE
'asked': SK-D
'him': HEUPL
'about': PW
'the': -T
'castle': KAFL
'of': -F
'Stromberg,': S*P/T*/R*/O*/PH*/PWERG/KW-BG
'and': SKP
'he': HE
'told': TOLD
'them': THEPL
'he': HE
'would': WO
'look': HRAOBG
'on': OPB
'his': HEUS
'own': OEPB
'maps': PHAPS
'as': AS
'soon': SAOPB
'as': AS
'he': HE
'had': H
'eaten': AOET/EPB
'and': SKP
'appeased': A/PAOEZ/-D
'his': HEUS
'hunger.': HURPBG/TP-PL
'Accordingly,': KPA/A/KORD/TKPWHREU/KW-BG
'when': WHEPB
'he': HE
'had': H
'finished': TP*EURBD
'his': HEUS
'supper,': SAOURP/KW-BG
'they': THE
'all': AUL
'went': WEPBT
'up': UP
'together': TOGT
'to': TO
'his': HEUS
'room': RAOPL
'and': SKP
'looked': HRAOBGD
'through': THRU
'his': HEUS
'maps,': PHAPS/KW-BG
'but': PWUT
'the': -T
'castle': KAFL
'was': WAS
'not': TPHOT
'to': TO
'be': -B
'found.': TPOUPBD/TP-PL
'Then': KPA/THEPB
'he': HE
'fetched': TPEFP/-D
'other': OER
'older': OERLD
'maps,': PHAPS/KW-BG
'and': SKP
'they': THE
'went': WEPBT
'on': OPB
'looking': HRAOG
'for': TPOR
'the': -T
'castle': KAFL
'until': TPH-L
'at': AT
'last': HRAFT
'they': THE
'found': TPOUPBD
'it,': T/KW-BG
'but': PWUT
'it': T
'was': WAS
'many': PHAEPB
'thousand': THOUD
'miles': PHAOEULS
'away.': WA*EU/TP-PL
''How': A*E/KPA*/HOU
'shall': SHAL
'I': EU
'be': -B
'able': ABL
'to': TO
'get': TKPWET
'there?'': THR/H-F/AE
'asked': SK-D
'the': -T
'man.': PHAPB/TP-PL
''I': A*E/EU
'have': SR
'two': TWO
'hours': HOURS
'to': TO
'spare,'': SPAEUR/KW-BG/AE
'said': SED
'the': -T
'giant,': SKWRAOEUPBT/KW-BG
''and': A*E/SKP
'I': EU
'will': HR
'carry': KAER
'you': U
'into': TPHAO
'the': -T
'neighbourhood': TPHAOD/A*U
'of': -F
'the': -T
'castle;': KAFL/STPH*FPLT
'I': EU
'must': PHUFT
'then': THEPB
'return': RURPB
'to': TO
'look': HRAOBG
'after': AF
'the': -T
'child': KHAOEULD
'who': WHO
'is': S
'in': TPH
'our': OUR
'care.'': KAEUR/TP-PL/AE
'The': KPA/-T
'giant,': SKWRAOEUPBT/KW-BG
'thereupon,': THRUP/KW-BG
'carried': KAERD
'the': -T
'man': PHAPB
'to': TO
'within': W-PB
'about': PW
'a': AEU
'hundred': HUPBD
'leagues': HRAOEG/-S
'of': -F
'the': -T
'castle,': KAFL/KW-BG
'where': W-R
'he': HE
'left': HREFT
'him,': HEUPL/KW-BG
'saying,': SAEUG/KW-BG
''You': A*E/KPA*/U
'will': HR
'be': -B
'able': ABL
'to': TO
'walk': WAUBG
'the': -T
'remainder': RAEURPBD
'of': -F
'the': -T
'way': WAEU
'yourself.'': KWRO*URS/TP-PL/AE
'The': KPA/-T
'man': PHAPB
'journeyed': SKWRURPB/EUD
'on': OPB
'day': TKAEU
'and': SKP
'night': TPHAOEUT
'till': TEUL
'he': HE
'reached': RAOEFPD
'the': -T
'golden': TKPWOELD/*EPB
'castle': KAFL
'of': -F
'Stromberg.': S*P/T*/R*/O*/PH*/PWERG/TP-PL
'He': KPA/HE
'found': TPOUPBD
'it': T
'situated,': SWAEUTD/KW-BG
'however,': HOUF/KW-BG
'on': OPB
'a': AEU
'glass': TKPWHRAS
'mountain,': PHOUPB/TAEUPB/KW-BG
'and': SKP
'looking': HRAOG
'up': UP
'from': TPR
'the': -T
'foot': TPAOT
'he': HE
'saw': SAU
'the': -T
'enchanted': EPB/KHAPBT/-D
'maiden': PHAEUD/*EPB
'drive': TKRAOEUF
'round': ROUPBD
'her': HER
'castle': KAFL
'and': SKP
'then': THEPB
'go': TKPW
'inside.': TPH-DZ/TP-PL
'He': KPA/HE
'was': WAS
'overjoyed': AUFR/SKWROEUD
'to': TO
'see': SAOE
'her,': HER/KW-BG
'and': SKP
'longed': HROPBG/-D
'to': TO
'get': TKPWET
'to': TO
'the': -T
'top': TOP
'of': -F
'the': -T
'mountain,': PHOUPB/TAEUPB/KW-BG
'but': PWUT
'the': -T
'sides': SAOEUDZ
'were': WR
'so': SO
'slippery': SHREUP/REU
'that': THA
'every': EF
'time': TAOEUPL
'he': HE
'attempted': A/TEPL/-D
'to': TO
'climb': KHRAOEUPL
'he': HE
'fell': TPEL
'back': PWABG
'again.': TKPWEPB/TP-PL
'When': KPA/WHEPB
'he': HE
'saw': SAU
'that': THA
'it': T
'was': WAS
'impossible': EUPL/POB
'to': TO
'reach': RAOEFP
'her,': HER/KW-BG
'he': HE
'was': WAS
'greatly': TKPWRAELT
'grieved,': TKPWRAOEF/-D/KW-BG
'and': SKP
'said': SED
'to': TO
'himself,': HEUPLS/KW-BG
''I': A*E/EU
'will': HR
'remain': RAEUPL
'here': HAOER
'and': SKP
'wait': WAEUT
'for': TPOR
'her,'': HER/KW-BG/AE
'so': SO
'he': HE
'built': PWEULT
'himself': HEUPLS
'a': AEU
'little': HREUL
'hut,': HUT/KW-BG
'and': SKP
'there': THR
'he': HE
'sat': SAT
'and': SKP
'watched': WAFPD
'for': TPOR
'a': AEU
'whole': WHOEL
'year,': KWRAOERBGS
'and': SKP
'every': EF
'day': TKAEU
'he': HE
'saw': SAU
'the': -T
'king's': KEUPBG/AES
'daughter': TKAUR
'driving': TKRAOEUFG
'round': ROUPBD
'her': HER
'castle,': KAFL/KW-BG
'but': PWUT
'still': STEUL
'was': WAS
'unable': TPHA*EUBL
'to': TO
'get': TKPWET
'nearer': TPHAOER/*ER
'to': TO
'her.': HER/TP-PL
'Looking': KPA/HRAOG
'out': OUT
'from': TPR
'his': HEUS
'hut': HUT
'one': WUPB
'day': TKAEU
'he': HE
'saw': SAU
'three': THRAOE
'robbers': RORBS
'fighting': TPAOEUGT
'and': SKP
'he': HE
'called': KAULD
'out': OUT
'to': TO
'them,': THEPL/KW-BG
''God': A*E/TKPWO*D
'be': -B
'with': W
'you.'': U/TP-PL/AE
'They': KPA/THE
'stopped': STOPD
'when': WHEPB
'they': THE
'heard': HAERD
'the': -T
'call,': KAUL/KW-BG
'but': PWUT
'looking': HRAOG
'round': ROUPBD
'and': SKP
'seeing': SAOEG
'nobody,': TPHOEB/KW-BG
'they': THE
'went': WEPBT
'on': OPB
'again': TKPWEPB
'with': W
'their': THAEUR
'fighting,': TPAOEUGT/KW-BG
'which': WEU
'now': TPHOU
'became': PWAEUPL
'more': PHOR
'furious.': TPAOURS/TP-PL
''God': A*E/TKPWO*D
'be': -B
'with': W
'you,'': U/KW-BG/AE
'he': HE
'cried': KRAOEUD
'again,': STKPWERPBGS
'and': SKP
'again': TKPWEPB
'they': THE
'paused': PAUFD
'and': SKP
'looked': HRAOBGD
'about,': PW-RBGS
'but': PWUT
'seeing': SAOEG
'no': TPHO
'one': WUPB
'went': WEPBT
'back': PWABG
'to': TO
'their': THAEUR
'fighting.': TPAOEUGT/TP-PL
'A': KPA/AEU
'third': THEURD
'time': TAOEUPL
'he': HE
'called': KAULD
'out,': OUT/KW-BG
''God': A*E/TKPWO*D
'be': -B
'with': W
'you,'': U/KW-BG/AE
'and': SKP
'then': THEPB
'thinking': THEUG
'he': HE
'should': SHO
'like': HRAOEUBG
'to': TO
'know': TPHOE
'the': -T
'cause': KAUS
'of': -F
'dispute': STKPAOUT
'between': TWAOEPB
'the': -T
'three': THRAOE
'men,': PHEPB/KW-BG
'he': HE
'went': WEPBT
'out': OUT
'and': SKP
'asked': SK-D
'them': THEPL
'why': KWR
'they': THE
'were': WR
'fighting': TPAOEUGT
'so': SO
'angrily': APBG/REU/HREU
'with': W
'one': WUPB
'another.': TPHOER/TP-PL
'One': KPA/WUPB
'of': -F
'them': THEPL
'said': SED
'that': THA
'he': HE
'had': H
'found': TPOUPBD
'a': AEU
'stick,': STEUBG/KW-BG
'and': SKP
'that': THA
'he': HE
'had': H
'but': PWUT
'to': TO
'strike': STRAOEUBG
'it': T
'against': TKPWEPBS
'any': TPHEU
'door': TKAOR
'through': THRU
'which': WEU
'he': HE
'wished': WEURBD
'to': TO
'pass,': PAS/KW-BG
'and': SKP
'it': T
'immediately': PHAOELD
'flew': TPHRAOU
'open.': OEP/TP-PL
'Another': KPA/TPHOER
'told': TOLD
'him': HEUPL
'that': THA
'he': HE
'had': H
'found': TPOUPBD
'a': AEU
'cloak': KHROEBG
'which': WEU
'rendered': REPBD/TKERD
'its': EUTS
'wearer': WAER/*ER
'invisible;': EUPB/SREUBL/STPH*FPLT
'and': SKP
'the': -T
'third': THEURD
'had': H
'caught': KAUT
'a': AEU
'horse': HORS
'which': WEU
'would': WO
'carry': KAER
'its': EUTS
'rider': ROEURD
'over': OEFR
'any': TPHEU
'obstacle,': OBS/K-L/KW-BG
'and': SKP
'even': AOEPB
'up': UP
'the': -T
'glass': TKPWHRAS
'mountain.': PHOUPB/TAEUPB/TP-PL
'They': KPA/THE
'had': H
'been': PW-PB
'unable': TPHA*EUBL
'to': TO
'decide': STKAOEUD
'whether': WHR
'they': THE
'would': WO
'keep': KAOEP
'together': TOGT
'and': SKP
'have': SR
'the': -T
'things': THEUPBGS
'in': TPH
'common,': KPHOPB/KW-BG
'or': OR
'whether': WHR
'they': THE
'would': WO
'separate.': SERPT/TP-PL
'On': KPA/OPB
'hearing': HAERG
'this,': TH/KW-BG
'the': -T
'man': PHAPB
'said,': SED/KW-BG
''I': A*E/EU
'will': HR
'give': TKPWEUF
'you': U
'something': S-G
'in': TPH
'exchange': KPAEUPBG
'for': TPOR
'those': THOZ
'three': THRAOE
'things;': THEUPBGS/STPH*FPLT
'not': TPHOT
'money,': PHUPB/KW-BG
'for': TPOR
'that': THA
'I': EU
'have': SR
'not': TPHOT
'got,': TKPWOT/KW-BG
'but': PWUT
'something': S-G
'that': THA
'is': S
'of': -F
'far': TPAR
'more': PHOR
'value.': SRAOUL/TP-PL
'I': EU
'must': PHUFT
'first,': TPEUFRT/KW-BG
'however,': HOUF/KW-BG
'prove': PROF
'whether': WHR
'all': AUL
'you': U
'have': SR
'told': TOLD
'me': PHE
'about': PW
'your': KWROUR
'three': THRAOE
'things': THEUPBGS
'is': S
'true.'': TRAOU/TP-PL/AE
'The': KPA/-T
'robbers,': RORBS/KW-BG
'therefore,': TH-FR/KW-BG
'made': PHAED
'him': HEUPL
'get': TKPWET
'on': OPB
'the': -T
'horse,': HORS/KW-BG
'and': SKP
'handed': HAPBD/-D
'him': HEUPL
'the': -T
'stick': STEUBG
'and': SKP
'the': -T
'cloak,': KHROEBG/KW-BG
'and': SKP
'when': WHEPB
'he': HE
'had': H
'put': PUT
'this': TH
'round': ROUPBD
'him': HEUPL
'he': HE
'was': WAS
'no': TPHO
'longer': HRORPBG
'visible.': SREUBL/TP-PL
'Then': KPA/THEPB
'he': HE
'fell': TPEL
'upon': POPB
'them': THEPL
'with': W
'the': -T
'stick': STEUBG
'and': SKP
'beat': PWAET
'them': THEPL
'one': WUPB
'after': AF
'another,': TPHOER/KW-BG
'crying,': KRAOEUG/KW-BG
''There,': A*E/KPA*/THR/KW-BG
'you': U
'idle': AOEUD/*L
'vagabonds,': SRAG/PWOPBDZ/KW-BG
'you': U
'have': SR
'got': TKPWOT
'what': WHA
'you': U
'deserve;': TKEFRB/STPH*FPLT
'are': R
'you': U
'satisfied': SAED
'now!'': TPHOU/SKHRAPL/AE
'After': KPA/AF
'this': TH
'he': HE
'rode': ROED
'up': UP
'the': -T
'glass': TKPWHRAS
'mountain.': PHOUPB/TAEUPB/TP-PL
'When': KPA/WHEPB
'he': HE
'reached': RAOEFPD
'the': -T
'gate': TKPWAET
'of': -F
'the': -T
'castle,': KAFL/KW-BG
'he': HE
'found': TPOUPBD
'it': T
'closed,': KHROEFD/KW-BG
'but': PWUT
'he': HE
'gave': TKPWAEUF
'it': T
'a': AEU
'blow': PWHROE
'with': W
'his': HEUS
'stick,': STEUBG/KW-BG
'and': SKP
'it': T
'flew': TPHRAOU
'wide': WAOEUD
'open': OEP
'at': AT
'once': WUPBS
'and': SKP
'he': HE
'passed': PAFD
'through.': THRU/TP-PL
'He': KPA/HE
'mounted': PHOUPBTD
'the': -T
'steps': STEPS
'and': SKP
'entered': SPWR-D
'the': -T
'room': RAOPL
'where': W-R
'the': -T
'maiden': PHAEUD/*EPB
'was': WAS
'sitting,': SEUGT/KW-BG
'with': W
'a': AEU
'golden': TKPWOELD/*EPB
'goblet': TKPWOBLT
'full': TPUL
'of': -F
'wine': WAOEUPB
'in': TPH
'front': TPROPBT
'of': -F
'her.': HER/TP-PL
'She': KPA/SHE
'could': KO
'not': TPHOT
'see': SAOE
'him': HEUPL
'for': TPOR
'he': HE
'still': STEUL
'wore': WOR
'his': HEUS
'cloak.': KHROEBG/TP-PL
'He': KPA/HE
'took': TAOBG
'the': -T
'ring': REUPBG
'which': WEU
'she': SHE
'had': H
'given': TKPWEUFPB
'him': HEUPL
'off': OF
'his': HEUS
'finger,': TPEURPBG/KW-BG
'and': SKP
'threw': THRAOU
'it': T
'into': TPHAO
'the': -T
'goblet,': TKPWOBLT/KW-BG
'so': SO
'that': THA
'it': T
'rang': RAPBG
'as': AS
'it': T
'touched': TUFPD
'the': -T
'bottom.': PWOPLT/TP-PL
''That': A*E/KPA*/THA
'is': S
'my': PHEU
'own': OEPB
'ring,'': REUPBG/KW-BG/AE
'she': SHE
'exclaimed,': SKHRAEUPLD/KW-BG
''and': A*E/SKP
'if': TP
'that': THA
'is': S
'so': SO
'the': -T
'man': PHAPB
'must': PHUFT
'also': HR-S
'be': -B
'here': HAOER
'who': WHO
'is': S
'coming': KO*G
'to': TO
'set': SET
'me': PHE
'free.'': TPRAOE/TP-PL/AE
'She': KPA/SHE
'sought': SAUT
'for': TPOR
'him': HEUPL
'about': PW
'the': -T
'castle,': KAFL/KW-BG
'but': PWUT
'could': KO
'find': TPAOEUPBD
'him': HEUPL
'nowhere.': TPHO/WR/TP-PL
'Meanwhile': KPA/PHAOEPB/WHAOEUL
'he': HE
'had': H
'gone': TKPWOPB
'outside': OUDZ
'again': TKPWEPB
'and': SKP
'mounted': PHOUPBTD
'his': HEUS
'horse': HORS
'and': SKP
'thrown': THROEPB
'off': OF
'the': -T
'cloak.': KHROEBG/TP-PL
'When': KPA/WHEPB
'therefore': TH-FR
'she': SHE
'came': KAEUPL
'to': TO
'the': -T
'castle': KAFL
'gate': TKPWAET
'she': SHE
'saw': SAU
'him,': HEUPL/KW-BG
'and': SKP
'cried': KRAOEUD
'aloud': A/HROUD
'for': TPOR
'joy.': SKWROEU/TP-PL
'Then': KPA/THEPB
'he': HE
'dismounted': TKEUS/PHOUPBTD
'and': SKP
'took': TAOBG
'her': HER
'in': TPH
'his': HEUS
'arms;': ARPLS/STPH*FPLT
'and': SKP
'she': SHE
'kissed': K*EUFD
'him,': HEUPL/KW-BG
'and': SKP
'said,': SED/KW-BG
''Now': A*E/KPA*/TPHOU
'you': U
'have': SR
'indeed': TPHAOEPBD
'set': SET
'me': PHE
'free,': TPRAOE/KW-BG
'and': SKP
'tomorrow': TORPL
'we': WE
'will': HR
'celebrate': SEL/PWRAEUT
'our': OUR
'marriage.'': PHAERPBLG/TP-PL/AE
