The Last Dream of the Old Oak

'In': KPA/TPH
'eyes': AO*EUS
'to': TO
'see.': SAOE/TP-PL
'The': KPA/-T
'stars': STARS
'became': PWAEUPL
'visible': SREUBL
'in': TPH
'broad': PWRAOD
'daylight,': TKAEULT/KW-BG
'large': HRARPBLG
'and': SKP
'sparkling,': SPAR/K-LG/KW-BG
'like': HRAOEUBG
'clear': KHRAOER
'and': SKP
'gentle': SKWR*EPBLT
'eyes.': AO*EUS/TP-PL
'They': KPA/THE
'recalled': -RLD
'to': TO
'the': -T
'memory': PHOEURPL
'the': -T
'well-known': WEL/TPHO*EPB
'look': HRAOBG
'in': TPH
'the': -T
'eyes': AO*EUS
'of': -F
'a': AEU
'child,': KHAOEULD/KW-BG
'or': OR
'in': TPH
'the': -T
'eyes': AO*EUS
'of': -F
'lovers': HRUFRS
'who': WHO
'had': H
'once': WUPBS
'met': PHET
'beneath': TPHAO*ET
'the': -T
'branches': PWRAFRPBS
'of': -F
'the': -T
'old': OLD
'oak.': OEBG/TP-PL
'These': KPA/THEZ
'were': WR
'wonderful': WUFL
'and': SKP
'happy': HAEP
'moments': PHOEPLTS
'for': TPOR
'the': -T
'old': OLD
'tree,': TRAOE/KW-BG
'full': TPUL
'of': -F
'peace': PAES
'and': SKP
'joy;': SKWROEU/STPH*FPLT
'and': SKP
'yet,': KWRET/KW-BG
'amidst': A/PH*EUFD
'all': AUL
'this': TH
'happiness,': HAEP/-PBS/KW-BG
'the': -T
'tree': TRAOE
'felt': TPELT
'a': AEU
'yearning,': KWRERPBG/KW-BG
'longing': HROPBG/-G
'desire': STKAOEUR
'that': THA
'all': AUL
'the': -T
'other': OER
'trees,': TRAOES/KW-BG
'bushes,': PWURBS/KW-BG
'herbs,': HERBS/KW-BG
'and': SKP
'flowers': TPHRO*URS
'beneath': TPHAO*ET
'him,': HEUPL/KW-BG
'might': PHAOEUT
'be': -B
'able': ABL
'also': HR-S
'to': TO
'rise': RAOEUZ
'higher,': HAOEUR/KW-BG
'as': AS
'he': HE
'had': H
'done,': TKOPB/KW-BG
'and': SKP
'to': TO
'see': SAOE
'all': AUL
'this': TH
'splendor,': SPHREPBD/O*R/KW-BG
'and': SKP
'experience': SPAOERPBS
'the': -T
'same': SAEUPL
'happiness.': HAEP/-PBS/TP-PL
'The': KPA/-T
'grand,': TKPWRAPBD/KW-BG
'majestic': PHA/SKWREFT/EUBG
'oak': OEBG
'could': KO
'not': TPHOT
'be': -B
'quite': KWAOEUT
'happy': HAEP
'in': TPH
'the': -T
'midst': PHEUDZ
'of': -F
'his': HEUS
'enjoyment,': SKWROEUPLT/KW-BG
'while': WHAOEUL
'all': AUL
'the': -T
'rest,': REFT/KW-BG
'both': PWO*T
'great': TKPWRAET
'and': SKP
'small,': SPHAL/KW-BG
'were': WR
'not': TPHOT
'with': W
'him.': HEUPL/TP-PL
'And': AFPBD
'this': TH
'feeling': TPAOELG
'of': -F
'yearning': KWRERPBG
'trembled': TREPL/-BLD
'through': THRU
'every': EF
'branch,': PWRAFRPB/KW-BG
'through': THRU
'every': EF
'leaf,': HRAOEF/KW-BG
'as': AS
'warmly': WARPL/HREU
'and': SKP
'fervently': TPEFRB/EPBT/HREU
'as': AS
'if': TP
'they': THE
'had': H
'been': PW-PB
'the': -T
'fibres': TPAOEURBS/A*U
'of': -F
'a': AEU
'human': HAOUPL
'heart.': HART/TP-PL
'The': KPA/-T
'summit': SUPLT
'of': -F
'the': -T
'tree': TRAOE
'waved': WAFD
'to': TO
'and': SKP
'fro,': TPRO/KW-BG
'and': SKP
'bent': PWEPBT
'downwards': TKOUPB/WARDZ
'as': AS
'if': TP
'in': TPH
'his': HEUS
'silent': SHREPBT
'longing': HROPBG/-G
'he': HE
'sought': SAUT
'for': TPOR
'something.': S-G/TP-PL
'Then': KPA/THEPB
'there': THR
'came': KAEUPL
'to': TO
'him': HEUPL
'the': -T
'fragrance': TPRAEUG/RAPBS
'of': -F
'thyme,': THAOEUPL/KW-BG
'followed': TPOLD
'by': PWEU
'the': -T
'more': PHOR
'powerful': POURL
'scent': SKEPBT
'of': -F
'honeysuckle': HOPB/KWREU/SUBG/*L
'and': SKP
'violets;': SROEULT/-S/STPH*FPLT
'and': SKP
'he': HE
'fancied': TPAPB/SEU/-D
'he': HE
'heard': HAERD
'the': -T
'note': TPHOET
'of': -F
'the': -T
'cuckoo.': KAO/KAO/TP-PL
'At': KPA/AT
'length': HREPBG
'his': HEUS
'longing': HROPBG/-G
'was': WAS
'satisfied.': SAED/TP-PL
'Up': KPA/UP
'through': THRU
'the': -T
'clouds': KHROUDZ
'came': KAEUPL
'the': -T
'green': TKPWRAOEPB
'summits': SUPLT/-S
'of': -F
'the': -T
'forest': TPOEFRT
'trees,': TRAOES/KW-BG
'and': SKP
'beneath': TPHAO*ET
'him,': HEUPL/KW-BG
'the': -T
'oak': OEBG
'saw': SAU
'them': THEPL
'rising,': RAOEUFG/KW-BG
'and': SKP
'growing': TKPWROEG
'higher': HAOEUR
'and': SKP
'higher.': HAOEUR/TP-PL
'Bush': PW*URB
'and': SKP
'herb': ERB
'shot': SHOT
'upward,': AUP/WARD/KW-BG
'and': SKP
'some': SOPL
'even': AOEPB
'tore': TO*R
'themselves': TH*EPLS
'up': UP
'by': PWEU
'the': -T
'roots': RAOTS
'to': TO
'rise': RAOEUZ
'more': PHOR
'quickly.': KWEULG/TP-PL
'The': KPA/-T
'birch-tree': PWEUFRPB/H-PB/TRAOE
'was': WAS
'the': -T
'quickest': KWEUBG/EFT
'of': -F
'all.': AUL/TP-PL
'Like': KPA/HRAOEUBG
'a': AEU
'lightning': HRAOEUT/TPHEUPBG
'flash': TPHRARB
'the': -T
'slender': SHRERPBD
'stem': STEPL
'shot': SHOT
'upwards': UP/WARDZ
'in': TPH
'a': AEU
'zigzag': S*EUG/SA*G
'line,': HRAOEUPB/KW-BG
'the': -T
'branches': PWRAFRPBS
'spreading': SPREGD
'around': ARPBD
'it': T
'like': HRAOEUBG
'green': TKPWRAOEPB
'gauze': TKPWAUZ
'and': SKP
'banners.': PWAPB/ERS/TP-PL
'Every': KPA/EF
'native': TPHAEUFT
'of': -F
'the': -T
'wood,': WAOD/KW-BG
'even': AOEPB
'to': TO
'the': -T
'brown': PWROUPB
'and': SKP
'feathery': TP*ET/KWREU
'rushes,': RURBS/KW-BG
'grew': TKPWRAOU
'with': W
'the': -T
'rest,': REFT/KW-BG
'while': WHAOEUL
'the': -T
'birds': PWEURDZ
'ascended': A/SEPBD/-D
'with': W
'the': -T
'melody': PHEL/TKEU
'of': -F
'song.': SOPBG/TP-PL
'On': KPA/OPB
'a': AEU
'blade': PWHRAEUD
'of': -F
'grass,': TKPWRAS/KW-BG
'that': THA
'fluttered': TPHRUT/ERD
'in': TPH
'the': -T
'air': AEUR
'like': HRAOEUBG
'a': AEU
'long,': HROPBG/KW-BG
'green': TKPWRAOEPB
'ribbon,': REUB/O*PB/KW-BG
'sat': SAT
'a': AEU
'grasshopper,': TKPWHR*FRPBLG/KW-BG
'cleaning': KHRAOEPBG
'his': HEUS
'wings': WEUPBGS
'with': W
'his': HEUS
'legs.': HREGS/TP-PL
'May': PHA*EU
'beetles': PWAOET/-LS
'hummed,': H*/*U/PH*/PH*/-D/KW-BG
'the': -T
'bees': PWAOES
'murmured,': PHUR/PHUR/-D/KW-BG
'the': -T
'birds': PWEURDZ
'sang,': SAPBG/KW-BG
'each': AOEFP
'in': TPH
'his': HEUS
'own': OEPB
'way;': WAEU/STPH*FPLT
'the': -T
'air': AEUR
'was': WAS
'filled': TPEULD
'with': W
'the': -T
'sounds': SOUPBDZ
'of': -F
'song': SOPBG
'and': SKP
'gladness.': TKPWHRAD/-PBS/TP-PL
'"But': KW-GS/KPA*/PWUT
'where': W-R
'is': S
'the': -T
'little': HREUL
'blue': PWHRU
'flower': TPHRO*UR
'that': THA
'grows': TKPWRO*ES
'by': PWEU
'the': -T
'water?"': WAUR/H-F/KR-GS
'asked': SK-D
'the': -T
'oak,': OEBG/KW-BG
'"and': KW-GS/SKP
'the': -T
'purple': PURPL
'bell-flower,': PWEL/H-PB/TPHRO*UR/KW-BG
'and': SKP
'the': -T
'daisy?"': TKAEU/SEU/H-F/KR-GS
'You': KPA/U
'see': SAOE
'the': -T
'oak': OEBG
'wanted': WAPBTD
'to': TO
'have': SR
'them': THEPL
'all': AUL
'with': W
'him.': HEUPL/TP-PL
'"Here': KW-GS/KPA*/HAOER
'we': WE
'are,': R-RBGS
'we': WE
'are': R
'here,"': HAOERBGS/KR-GS
'sounded': SOUPBD/-D
'in': TPH
'voice': SROEUS
'and': SKP
'song.': SOPBG/TP-PL
'"But': KW-GS/KPA*/PWUT
'the': -T
'beautiful': PWAOUFL
'thyme': THAOEUPL
'of': -F
'last': HRAFT
'summer,': SAOURPL/KW-BG
'where': W-R
'is': S
'that?': THA/H-F
'and': SKP
'the': -T
'lilies-of-the-valley,': HREUL/KWREU/-S/H-PB/-F/H-PB/-T/H-PB/SRAL/KWREU/KW-BG
'which': WEU
'last': HRAFT
'year': KWRAOER
'covered': KOFRD
'the': -T
'earth': *ERT
'with': W
'their': THAEUR
'bloom?': PWHRAOPL/H-F
'and': SKP
'the': -T
'wild': WAOEULD
'apple-tree': A*EPL/H-PB/TRAOE
'with': W
'its': EUTS
'lovely': HROFL
'blossoms,': PWHROS/SOPL/-S/KW-BG
'and': SKP
'all': AUL
'the': -T
'glory': TKPWHROER
'of': -F
'the': -T
'wood,': WAOD/KW-BG
'which': WEU
'has': HAS
'flourished': TPHROR/EURB/-D
'year': KWRAOER
'after': AF
'year?': KWRAOER/H-F
'even': AOEPB
'what': WHA
'may': PHAEU
'have': SR
'but': PWUT
'now': TPHOU
'sprouted': SPROUT/-D
'forth': TPO*RT
'could': KO
'be': -B
'with': W
'us': US
'here."': HAOER/TP-PL/KR-GS
'"We': KW-GS/KPA*/WE
'are': R
'here,': HAOERBGS
'we': WE
'are': R
'here,"': HAOERBGS/KR-GS
'sounded': SOUPBD/-D
'voices': SROEUFS
'higher': HAOEUR
'in': TPH
'the': -T
'air,': AEUR/KW-BG
'as': AS
'if': TP
'they': THE
'had': H
'flown': TPHROEPB
'there': THR
'beforehand.': PW-FRPBD/TP-PL
'"Why': KW-GS/KPA*/KWR
'this': TH
'is': S
'beautiful,': PWAOUFL/KW-BG
'too': TAO
'beautiful': PWAOUFL
'to': TO
'be': -B
'believed,"': PWHREFD/KW-BG/KR-GS
'said': SED
'the': -T
'oak': OEBG
'in': TPH
'a': AEU
'joyful': SKWROEUFL
'tone.': TOEPB/TP-PL
'"I': KW-GS/EU
'have': SR
'them': THEPL
'all': AUL
'here,': HAOERBGS
'both': PWO*T
'great': TKPWRAET
'and': SKP
'small;': SPHAL/STPH*FPLT
'not': TPHOT
'one': WUPB
'has': HAS
'been': PW-PB
'forgotten.': TPAURGTD/TP-PL
'Can': KPA/K
'such': SUFP
'happiness': HAEP/-PBS
'be': -B
'imagined?"': PHAPBLGD/H-F/KR-GS
'It': KPA/T
'seemed': SAOEPLD
'almost': HR-PL
'impossible.': EUPL/POB/TP-PL
'"In': KW-GS/KPA*/TPH
'heaven': HEFPB
'with': W
'the': -T
'Eternal': KPA/AOE/TERPBL
'God,': TKPWO*D/KW-BG
'it': T
'can': K
'be': -B
'imagined,': PHAPBLGD/KW-BG
'and': SKP
'it': T
'is': S
'possible,"': POB/KW-BG/KR-GS
'sounded': SOUPBD/-D
'the': -T
'reply': RE/PHRAOEU
'through': THRU
'the': -T
'air.': AEUR/TP-PL
'And': AFPBD
'the': -T
'old': OLD
'tree,': TRAOE/KW-BG
'as': AS
'it': T
'still': STEUL
'grew': TKPWRAOU
'upwards': UP/WARDZ
'and': SKP
'onwards,': OPB/WARDZ/KW-BG
'felt': TPELT
'that': THA
'his': HEUS
'roots': RAOTS
'were': WR
'loosening': HRAOS/-PBG
'themselves': TH*EPLS
'from': TPR
'the': -T
'earth.': *ERT/TP-PL
'"It': KW-GS/KPA*/T
'is': S
'right': RAOEUT
'so,': SO/KW-BG
'it': T
'is': S
'best,"': PWEFT/KW-BG/KR-GS
'said': SED
'the': -T
'tree,': TRAOE/KW-BG
'"no': KW-GS/TPHO
'fetters': TPET/ERS
'hold': HOLD
'me': PHE
'now.': TPHOU/TP-PL
'I': EU
'can': K
'fly': TPHRAOEU
'up': UP
'to': TO
'the': -T
'very': SRE
'highest': HAOEU/EFT
'point': POEUPBT
'in': TPH
'light': HRAOEUT
'and': SKP
'glory.': TKPWHROER/TP-PL
'And': AFPBD
'all': AUL
'I': EU
'love': HRUF
'are': R
'with': W
'me,': PHE/KW-BG
'both': PWO*T
'small': SPHAL
'and': SKP
'great.': TKPWRAET/TP-PL
'All—all': KPA/AUL/EPL/TKA*RB/AUL
'are': R
'here."': HAOER/TP-PL/KR-GS
'Such': KPA/SUFP
'was': WAS
'the': -T
'dream': TKRAOEPL
'of': -F
'the': -T
'old': OLD
'oak:': OEBG/STPH-FPLT
'and': SKP
'while': WHAOEUL
'he': HE
'dreamed,': TKREPLD/KW-BG
'a': AEU
'mighty': PHAOEUT/KWREU
'storm': STORPL
'came': KAEUPL
'rushing': RURBG
'over': OEFR
'land': HRAPBD
'and': SKP
'sea,': SAE/KW-BG
'at': AT
'the': -T
'holy': HOEUL
'Christmas': KREUS/PHAS
'time.': TAOEUPL/TP-PL
'The': KPA/-T
'sea': SAE
'rolled': ROLD
'in': TPH
'great': TKPWRAET
'billows': PWEUL/HROE/-S
'towards': TORDZ
'the': -T
'shore.': SHOR/TP-PL
'There': KPA/THR
'was': WAS
'a': AEU
'cracking': KRA*G
'and': SKP
'crushing': KRURBG
'heard': HAERD
'in': TPH
'the': -T
'tree.': TRAOE/TP-PL
'The': KPA/-T
'root': RAOT
'was': WAS
'torn': TORPB
'from': TPR
'the': -T
'ground': TKPWROUPBD
'just': SKWRUFT
'at': AT
'the': -T
'moment': PHOEPLT
'when': WHEPB
'in': TPH
'his': HEUS
'dream': TKRAOEPL
'he': HE
'fancied': TPAPB/SEU/-D
'it': T
'was': WAS
'being': -BG
'loosened': HRAOS/-PBD
'from': TPR
'the': -T
'earth.': *ERT/TP-PL
'He': KPA/HE
'fell—his': TPEL/EPL/TKA*RB/HEUS
'three': THRAOE
'hundred': HUPBD
'and': SKP
'sixty-five': SEUBGT/TPAOEUF
'years': KWRAOERS
'were': WR
'passed': PAFD
'as': AS
'the': -T
'single': SEUPBLG
'day': TKAEU
'of': -F
'the': -T
'Ephemera.': KPA/AOE/TPEPL/RA/TP-PL
'On': KPA/OPB
'the': -T
'morning': PHORPBG
'of': -F
'Christmas-day,': KREUS/PHAS/TKA*EU/KW-BG
'when': WHEPB
'the': -T
'sun': SUPB
'rose,': ROEZ/KW-BG
'the': -T
'storm': STORPL
'had': H
'ceased.': SAOES/-D/TP-PL
'From': KPA/TPR
'all': AUL
'the': -T
'churches': KHUFRPBS
'sounded': SOUPBD/-D
'the': -T
'festive': TPES/TEUF
'bells,': PWELS/KW-BG
'and': SKP
'from': TPR
'every': EF
'hearth,': HAERT/KW-BG
'even': AOEPB
'of': -F
'the': -T
'smallest': SPHAUL/EFT
'hut,': HUT/KW-BG
'rose': ROEZ
'the': -T
'smoke': SPHOEBG
'into': TPHAO
'the': -T
'blue': PWHRU
'sky,': SKAOEU/KW-BG
'like': HRAOEUBG
'the': -T
'smoke': SPHOEBG
'from': TPR
'the': -T
'festive': TPES/TEUF
'thank-offerings': THAPBG/H-PB/OFRGS
'on': OPB
'the': -T
'Druids'': TKRAOU/EUD/-S/AE
'altars.': A*LT/A*RS/TP-PL
'The': KPA/-T
'sea': SAE
'gradually': TKPWRAD/WAEL
'became': PWAEUPL
'calm,': KAUPL/KW-BG
'and': SKP
'on': OPB
'board': PWAORD
'a': AEU
'great': TKPWRAET
'ship': SHEUP
'that': THA
'had': H
'withstood': W/STAOD
'the': -T
'tempest': TEPL/PEFT
'during': TKURG
'the': -T
'night,': TPHAOEUT/KW-BG
'all': AUL
'the': -T
'flags': TPHRAGS
'were': WR
'displayed,': TKEUS/PHRAEUD/KW-BG
'as': AS
'a': AEU
'token': TO*EPB
'of': -F
'joy': SKWROEU
'and': SKP
'festivity.': TPEFT/EUFT/TP-PL
'"The': KW-GS/KPA*/-T
'tree': TRAOE
'is': S
'down!': TKOUPB/SKHRAPL
'The': KPA/-T
'old': OLD
'oak,—our': OEBG/KW-BG/EPL/TKA*RB/OUR
'landmark': HRAPBD/PHARBG
'on': OPB
'the': -T
'coast!"': KOEFT/SKHRAPL/KR-GS
'exclaimed': SKHRAEUPLD
'the': -T
'sailors.': SAEUL/ORS/TP-PL
'"It': KW-GS/KPA*/T
'must': PHUFT
'have': SR
'fallen': TPAUPBL
'in': TPH
'the': -T
'storm': STORPL
'of': -F
'last': HRAFT
'night.': TPHAOEUT/TP-PL
'Who': KPA/WHO
'can': K
'replace': RE/PHRAEUS
'it?': T/H-F
'Alas!': KPA/A/HRAS/SKHRAPL
'no': TPHO
'one."': WUPB/TP-PL/KR-GS
'This': KPA/TH
'was': WAS
'a': AEU
'funeral': TPAOUPBL
'oration': OR/AEUGS
'over': OEFR
'the': -T
'old': OLD
'tree;': TRAOE/STPH*FPLT
'short,': SHORT/KW-BG
'but': PWUT
'well-meant.': W*EL/PHEPBT/TP-PL
'There': KPA/THR
'it': T
'lay': HRAEU
'stretched': STREFPD
'on': OPB
'the': -T
'snow-covered': STPHOE/H-PB/KOFRD
'shore,': SHOR/KW-BG
'and': SKP
'over': OEFR
'it': T
'sounded': SOUPBD/-D
'the': -T
'notes': TPHOETS
'of': -F
'a': AEU
'song': SOPBG
'from': TPR
'the': -T
'ship—a': SHEUP/EPL/TKA*RB/AEU
'song': SOPBG
'of': -F
'Christmas': KREUS/PHAS
'joy,': SKWROEU/KW-BG
'and': SKP
'of': -F
'the': -T
'redemption': RE/TKEPLS
'of': -F
'the': -T
'soul': SOUL
'of': -F
'man,': PHAPB/KW-BG
'and': SKP
'of': -F
'eternal': AOE/TERPBL
'life': HRAOEUF
'through': THRU
'Christ's': KRAOEUFT/AES
'atoning': A/TOEPB/-G
'blood.': PWHRAOD/TP-PL
'"Sing': KW-GS/KPA*/SEUPBG
'aloud': A/HROUD
'on': OPB
'the': -T
'happy': HAEP
'morn,': PHORPB/KW-BG
'All': KPA/AUL
'is': S
'fulfilled,': TPUL/TPEULD/KW-BG
'for': TPOR
'Christ': KRAOEUFT
'is': S
'born;': PWORPB/STPH*FPLT
'With': KPA/W
'songs': SOPBGS
'of': -F
'joy': SKWROEU
'let': HRET
'us': US
'loudly': HROUD/HREU
'sing,': SEUPBG/KW-BG
''Hallelujahs': A*E/HAL/HRAOU/KWRA/-S
'to': TO
'Christ': KRAOEUFT
'our': OUR
'King.'"': KO*EUPBG/TP-PL/AE/KR-GS
'Thus': KPA/THUS
'sounded': SOUPBD/-D
'the': -T
'old': OLD
'Christmas': KREUS/PHAS
'carol,': KAR/OL/KW-BG
'and': SKP
'every': EF
'one': WUPB
'on': OPB
'board': PWAORD
'the': -T
'ship': SHEUP
'felt': TPELT
'his': HEUS
'thoughts': THAUTS
'elevated,': EL/SRAEUTD/KW-BG
'through': THRU
'the': -T
'song': SOPBG
'and': SKP
'the': -T
'prayer,': PRAEUR/KW-BG
'even': AOEPB
'as': AS
'the': -T
'old': OLD
'tree': TRAOE
'had': H
'felt': TPELT
'lifted': HREUFTD
'up': UP
'in': TPH
'its': EUTS
'last,': HRAFT/KW-BG
'its': EUTS
'beautiful': PWAOUFL
'dream': TKRAOEPL
'on': OPB
'that': THA
'Christmas': KREUS/PHAS
'morn.': PHORPB/TP-PL
