Holger Danske
'talked': TAUBGD
'of': -F
'the': -T
'Danish': TKAEUPB/EURB
'lions': HRAOEU/O*PBS
'and': SKP
'the': -T
'Danish': TKAEUPB/EURB
'hearts,': HARTS/KW-BG
'emblems': EPL/PWHREPL/-S
'of': -F
'strength': STREPBG
'and': SKP
'gentleness,': SKWR*EPBLT/-PBS/KW-BG
'and': SKP
'explained': SPHRAEUPBD
'quite': KWAOEUT
'clearly': KAOERL
'that': THA
'there': THR
'is': S
'another': TPHOER
'strength': STREPBG
'than': THAPB
'that': THA
'which': WEU
'lies': HRAO*EUS
'in': TPH
'a': AEU
'sword,': SWORD/KW-BG
'and': SKP
'he': HE
'pointed': POEUPBTD
'to': TO
'a': AEU
'shelf': SHEFL
'where': W-R
'lay': HRAEU
'a': AEU
'number': TPHUPL
'of': -F
'old': OLD
'books,': PWAOBGS/KW-BG
'and': SKP
'amongst': PHOPBGS
'them': THEPL
'a': AEU
'collection': KHREBGS
'of': -F
'Holberg's': H*P/HRO*/PWERG/AES
'plays,': PHRAEUZ/KW-BG
'which': WEU
'are': R
'much': PHUFP
'read': RAED
'and': SKP
'are': R
'so': SO
'clever': KHREFR
'and': SKP
'amusing': A/PHAOUFG
'that': THA
'it': T
'is': S
'easy': EZ
'to': TO
'fancy': TPAEPBS
'we': WE
'have': SR
'known': TPHOEPB
'the': -T
'people': PAOEPL
'of': -F
'those': THOZ
'days,': TKAEUS/KW-BG
'who': WHO
'are': R
'described': KREUFD
'in': TPH
'them.': THEPL/TP-PL
'"He': KW-GS/KPA*/HE
'knew': TPHAOU
'how': HOU
'to': TO
'fight': TPAOEUT
'also,"': HR-S/KW-BG/KR-GS
'said': SED
'the': -T
'old': OLD
'man;': PHAPB/STPH*FPLT
'"for': KW-GS/TPOR
'he': HE
'lashed': HRARBD
'the': -T
'follies': TP*/O*/HR*/HR*/KWREU/-S
'and': SKP
'prejudices': PREPBLG/TKEUS/-S
'of': -F
'people': PAOEPL
'during': TKURG
'his': HEUS
'whole': WHOEL
'life."': HRAOEUF/TP-PL/KR-GS
'Then': KPA/THEPB
'the': -T
'grandfather': TKPWR-F
'nodded': TPHOD/-D
'to': TO
'a': AEU
'place': PHRAEUS
'above': PWOF
'the': -T
'looking-glass,': HRAOG/H-PB/TKPWHRAS/KW-BG
'where': W-R
'hung': HUPBG
'an': APB
'almanac,': AUPL/TPHABG/KW-BG
'with': W
'a': AEU
'representation': REPGS
'of': -F
'the': -T
'Round': KPA/ROUPBD
'Tower': KPA/TOUR
'upon': POPB
'it,': T/KW-BG
'and': SKP
'said': SED
'"Tycho': KW-GS/KPA/TAO*E/*FP/SKWRO
'Brahe': PW*P/R*/A*/H*/SKWRE
'was': WAS
'another': TPHOER
'of': -F
'those': THOZ
'who': WHO
'used': AOUFD
'a': AEU
'sword,': SWORD/KW-BG
'but': PWUT
'not': TPHOT
'one': WUPB
'to': TO
'cut': KUT
'into': TPHAO
'the': -T
'flesh': TPHRERB
'and': SKP
'bone,': PWOEPB/KW-BG
'but': PWUT
'to': TO
'make': PHAEUBG
'the': -T
'way': WAEU
'of': -F
'the': -T
'stars': STARS
'of': -F
'heaven': HEFPB
'clear,': KHRAOER/KW-BG
'and': SKP
'plain': PHRAEUPB
'to': TO
'be': -B
'understood.': *URPBD/TP-PL
'And': AFPBD
'then': THEPB
'he': HE
'whose': WHOZ
'father': TPAER
'belonged': PWHROPBGD
'to': TO
'my': PHEU
'calling,—yes,': KAULG/KW-BG/EPL/TKA*RB/KWRERBGS
'he,': HE/KW-BG
'the': -T
'son': SOPB
'of': -F
'the': -T
'old': OLD
'image-carver,': EUPBLG/H-PB/KAFRB/ER/KW-BG
'he': HE
'whom': WHOPL
'we': WE
'ourselves': O*URSZ
'have': SR
'seen,': SAOEPB/KW-BG
'with': W
'his': HEUS
'silvery': SEUL/SRER/KWREU
'locks': HROBGZ
'and': SKP
'his': HEUS
'broad': PWRAOD
'shoulders,': SHOURLDZ/KW-BG
'whose': WHOZ
'name': TPHAEUPL
'is': S
'known': TPHOEPB
'in': TPH
'all': AUL
'lands;—yes,': HRAPBDZ/STPH*FPLT/EPL/TKA*RB/KWRERBGS
'he': HE
'was': WAS
'a': AEU
'sculptor,': SKAO*UFP/KW-BG
'while': WHAOEUL
'I': EU
'am': APL
'only': OEPBL
'a': AEU
'carver.': KAFRB/ER/TP-PL
'Holger': H*P/O*/HR*/TKPW*/*ER
'Danske': TKAPB/-S/*BG/SKWRE
'can': K
'appear': A/PAOER
'in': TPH
'marble,': PHAERBL/KW-BG
'so': SO
'that': THA
'people': PAOEPL
'in': TPH
'all': AUL
'countries': KUPBTS
'of': -F
'the': -T
'world': WORLD
'may': PHAEU
'hear': HAER
'of': -F
'the': -T
'strength': STREPBG
'of': -F
'Denmark.': TKEPB/PHARBG/TP-PL
'Now': KPA/TPHOU
'let': HRET
'us': US
'drink': TKREU
'the': -T
'health': H*ELT
'of': -F
'Bertel."': PW*P/*E/R*/T*/*E/HR*/TP-PL/KR-GS
'But': KPA/PWUT
'the': -T
'little': HREUL
'boy': PWOEU
'in': TPH
'bed': PWED
'saw': SAU
'plainly': PHRAEUPBL
'the': -T
'old': OLD
'castle': KAFL
'of': -F
'Kronenburg,': K*P/R*/O*PB/*EPB/PW*URG/KW-BG
'and': SKP
'the': -T
'Sound': KPA/SOUPBD
'of': -F
'Elsinore,': EL/-S/*EUPB/O*R/SKWRE/KW-BG
'and': SKP
'Holger': H*P/O*/HR*/TKPW*/*ER
'Danske,': TKAPB/-S/*BG/SKWRE/KW-BG
'far': TPAR
'down': TKOUPB
'in': TPH
'the': -T
'cellar,': SEL/AR/KW-BG
'with': W
'his': HEUS
'beard': PWAERD
'rooted': RAOT/-D
'to': TO
'the': -T
'table,': TAEUBL/KW-BG
'and': SKP
'dreaming': TKRAOEPLG
'of': -F
'everything': EFRG
'that': THA
'was': WAS
'passing': PAFG
'above': PWOF
'him.': HEUPL/TP-PL
'And': AFPBD
'Holger': H*P/O*/HR*/TKPW*/*ER
'Danske': TKAPB/-S/*BG/SKWRE
'did': TK
'dream': TKRAOEPL
'of': -F
'the': -T
'little': HREUL
'humble': HUPL/-BL
'room': RAOPL
'in': TPH
'which': WEU
'the': -T
'image-carver': EUPBLG/H-PB/KAFRB/ER
'sat;': SAT/STPH*FPLT
'he': HE
'heard': HAERD
'all': AUL
'that': THA
'had': H
'been': PW-PB
'said,': SED/KW-BG
'and': SKP
'he': HE
'nodded': TPHOD/-D
'in': TPH
'his': HEUS
'dream,': TKRAOEPL/KW-BG
'saying,': SAEUG/KW-BG
'"Ah,': KW-GS/KPA*/AERBGS
'yes,': KWRERBGS
'remember': RER
'me,': PHE/KW-BG
'you': U
'Danish': TKAEUPB/EURB
'people,': PAOEPL/KW-BG
'keep': KAOEP
'me': PHE
'in': TPH
'your': KWROUR
'memory,': PHOEURPL/KW-BG
'I': EU
'will': HR
'come': KOPL
'to': TO
'you': U
'in': TPH
'the': -T
'hour': HOUR
'of': -F
'need."': TPHAOED/TP-PL/KR-GS
'The': KPA/-T
'bright': PWRAOEUT
'morning': PHORPBG
'light': HRAOEUT
'shone': SHO*EPB
'over': OEFR
'Kronenburg,': K*P/R*/O*PB/*EPB/PW*URG/KW-BG
'and': SKP
'the': -T
'wind': WEUPBD
'brought': PWRAUT
'the': -T
'sound': SOUPBD
'of': -F
'the': -T
'hunting-horn': HUPBT/-G/H-PB/HORPB
'across': KRAOS
'from': TPR
'the': -T
'neighboring': TPHAEUB/-G
'shores.': SHORS/TP-PL
'The': KPA/-T
'ships': SHEUPS
'sailed': SAEULD
'by': PWEU
'and': SKP
'saluted': SA/HRAOUT/-D
'the': -T
'castle': KAFL
'with': W
'the': -T
'boom': PWAOPL
'of': -F
'the': -T
'cannon,': KAPB/TPHOPB/KW-BG
'and': SKP
'Kronenburg': K*P/R*/O*PB/*EPB/PW*URG
'returned': RURPBD
'the': -T
'salute,': SA/HRAOUT/KW-BG
'"Boom,': KW-GS/KPA*/PWAOPL/KW-BG
'boom."': PWAOPL/TP-PL/KR-GS
'But': KPA/PWUT
'the': -T
'roaring': RAORG
'cannons': KAPB/TPHOPB/-S
'did': TK
'not': TPHOT
'awake': A/WAEUBG
'Holger': H*P/O*/HR*/TKPW*/*ER
'Danske,': TKAPB/-S/*BG/SKWRE/KW-BG
'for': TPOR
'they': THE
'meant': PHEPBT
'only': OEPBL
'"Good': KW-GS/KPA*/TKPWAOD
'morning,"': PHORPBG/KW-BG/KR-GS
'and': SKP
'"Thank': KW-GS/KPA*/THAPBG
'you."': U/TP-PL/KR-GS
'They': KPA/THE
'must': PHUFT
'fire': TPAOEUR
'in': TPH
'another': TPHOER
'fashion': TPAGS
'before': PW-FR
'he': HE
'awakes;': A/WAEUBGS/STPH*FPLT
'but': PWUT
'wake': WAEUBG
'he': HE
'will,': HR-RBGS
'for': TPOR
'there': THR
'is': S
'energy': TPH-RG
'yet': KWRET
'in': TPH
'Holger': H*P/O*/HR*/TKPW*/*ER
'Danske.': TKAPB/-S/*BG/SKWRE/TP-PL
