Little Ida's Flowers

'"My': KW-GS/KPA*/PHEU
'hyacinths': HAOEU/S*EUPBT/-S
'and': SKP
'tulips,': TAOU/HREUPS/KW-BG
'and': SKP
'many': PHAEPB
'others.': OERS/TP-PL
'Then': KPA/THEPB
'she': SHE
'whispered': WHEUS/PERD
'to': TO
'them': THEPL
'quite': KWAOEUT
'softly,': SOFT/HREU/KW-BG
'"I': KW-GS/EU
'know': TPHOE
'you': U
'are': R
'going': TKPW-G
'to': TO
'a': AEU
'ball': PWAUL
'to-night."': TO/H-PB/TPHAOEUT/TP-PL/KR-GS
'But': KPA/PWUT
'the': -T
'flowers': TPHRO*URS
'appeared': A/PAOERD
'as': AS
'if': TP
'they': THE
'did': TK
'not': TPHOT
'understand,': URPBD/KW-BG
'and': SKP
'not': TPHOT
'a': AEU
'leaf': HRAOEF
'moved;': PHOFD/STPH*FPLT
'still': STEUL
'Ida': KPA/EUD/SKWRA
'felt': TPELT
'quite': KWAOEUT
'sure': SHUR
'she': SHE
'knew': TPHAOU
'all': AUL
'about': PW
'it.': T/TP-PL
'She': KPA/SHE
'lay': HRAEU
'awake': A/WAEUBG
'a': AEU
'long': HROPBG
'time': TAOEUPL
'after': AF
'she': SHE
'was': WAS
'in': TPH
'bed,': PWED/KW-BG
'thinking': THEUG
'how': HOU
'pretty': PREUT
'it': T
'must': PHUFT
'be': -B
'to': TO
'see': SAOE
'all': AUL
'the': -T
'beautiful': PWAOUFL
'flowers': TPHRO*URS
'dancing': TKAPBS/-G
'in': TPH
'the': -T
'king's': KEUPBG/AES
'garden.': TKPWA*RPB/TP-PL
'"I': KW-GS/EU
'wonder': WOPBD
'if': TP
'my': PHEU
'flowers': TPHRO*URS
'have': SR
'really': R-L
'been': PW-PB
'there,"': THR-RBGS/KR-GS
'she': SHE
'said': SED
'to': TO
'herself,': H*ERS/KW-BG
'and': SKP
'then': THEPB
'she': SHE
'fell': TPEL
'asleep.': A/SHRAOEP/TP-PL
'In': KPA/TPH
'the': -T
'night': TPHAOEUT
'she': SHE
'awoke;': A/WOEBG/STPH*FPLT
'she': SHE
'had': H
'been': PW-PB
'dreaming': TKRAOEPLG
'of': -F
'the': -T
'flowers': TPHRO*URS
'and': SKP
'of': -F
'the': -T
'student,': STAUPB/KW-BG
'as': AS
'well': WEL
'as': AS
'of': -F
'the': -T
'tiresome': TAOEUR/SO*PL
'lawyer': HRAUR
'who': WHO
'found': TPOUPBD
'fault': TPAULT
'with': W
'him.': HEUPL/TP-PL
'It': KPA/T
'was': WAS
'quite': KWAOEUT
'still': STEUL
'in': TPH
'Ida's': KPA/EUD/SKWRA/AES
'bedroom;': PW-PL/STPH*FPLT
'the': -T
'night-lamp': TPHAOEUT/H-PB/HRAFRP
'burnt': PWURPBT
'on': OPB
'the': -T
'table,': TAEUBL/KW-BG
'and': SKP
'her': HER
'father': TPAER
'and': SKP
'mother': PHOER
'were': WR
'asleep.': A/SHRAOEP/TP-PL
'"I': KW-GS/EU
'wonder': WOPBD
'if': TP
'my': PHEU
'flowers': TPHRO*URS
'are': R
'still': STEUL
'lying': HRAOEUG
'in': TPH
'Sophy's': S*P/O*/P*/H*/KWREU/AES
'bed,"': PWED/KW-BG/KR-GS
'she': SHE
'thought': THAUT
'to': TO
'herself;': H*ERS/STPH*FPLT
'"how': KW-GS/HOU
'much': PHUFP
'I': EU
'should': SHO
'like': HRAOEUBG
'to': TO
'know."': TPHOEFPLT/KR-GS
'She': KPA/SHE
'raised': RA*EUFD
'herself': H*ERS
'a': AEU
'little,': HREUL/KW-BG
'and': SKP
'glanced': TKPWHRAPBS/-D
'at': AT
'the': -T
'door': TKAOR
'of': -F
'the': -T
'room': RAOPL
'where': W-R
'all': AUL
'her': HER
'flowers': TPHRO*URS
'and': SKP
'playthings': PHRAEU/THEUPBG/-S
'lay;': HRAEU/STPH*FPLT
'it': T
'was': WAS
'partly': PARLT
'open,': OEP/KW-BG
'and': SKP
'as': AS
'she': SHE
'listened,': HREUFPBD/KW-BG
'it': T
'seemed': SAOEPLD
'as': AS
'if': TP
'some': SOPL
'one': WUPB
'in': TPH
'the': -T
'room': RAOPL
'was': WAS
'playing': PHRAEUG
'the': -T
'piano,': PAPB/TPHOE/KW-BG
'but': PWUT
'softly': SOFT/HREU
'and': SKP
'more': PHOR
'prettily': PRET/HREU
'than': THAPB
'she': SHE
'had': H
'ever': -FR
'before': PW-FR
'heard': HAERD
'it.': T/TP-PL
'"Now': KW-GS/KPA*/TPHOU
'all': AUL
'the': -T
'flowers': TPHRO*URS
'are': R
'certainly': SERPBL
'dancing': TKAPBS/-G
'in': TPH
'there,"': THR-RBGS/KR-GS
'she': SHE
'thought,': THAUT/KW-BG
'"oh': KW-GS/O*ERBGS
'how': HOU
'much': PHUFP
'I': EU
'should': SHO
'like': HRAOEUBG
'to': TO
'see': SAOE
'them,"': THEPL/KW-BG/KR-GS
'but': PWUT
'she': SHE
'did': TK
'not': TPHOT
'dare': TKAEUR
'move': PHOF
'for': TPOR
'fear': TPAOER
'of': -F
'disturbing': TKEUS/TURBG
'her': HER
'father': TPAER
'and': SKP
'mother.': PHOER/TP-PL
'"If': KW-GS/KPA*/TP
'they': THE
'would': WO
'only': OEPBL
'come': KOPL
'in': TPH
'here,"': HAOERBGS/KR-GS
'she': SHE
'thought;': THAUT/STPH*FPLT
'but': PWUT
'they': THE
'did': TK
'not': TPHOT
'come,': KOPL/KW-BG
'and': SKP
'the': -T
'music': PHAOUFBG
'continued': T-PBD
'to': TO
'play': PHRAEU
'so': SO
'beautifully,': PWAOUFL/HREU/KW-BG
'and': SKP
'was': WAS
'so': SO
'pretty,': PREUT/KW-BG
'that': THA
'she': SHE
'could': KO
'resist': RE/SEUFT
'no': TPHO
'longer.': HRORPBG/TP-PL
'She': KPA/SHE
'crept': KREPT
'out': OUT
'of': -F
'her': HER
'little': HREUL
'bed,': PWED/KW-BG
'went': WEPBT
'softly': SOFT/HREU
'to': TO
'the': -T
'door': TKAOR
'and': SKP
'looked': HRAOBGD
'into': TPHAO
'the': -T
'room.': RAOPL/TP-PL
'Oh': KPA/O*ERBGS
'what': WHA
'a': AEU
'splendid': SPHREPB/TKEUD
'sight': SAOEUT
'there': THR
'was': WAS
'to': TO
'be': -B
'sure!': SHUR/SKHRAPL
'There': KPA/THR
'was': WAS
'no': TPHO
'night-lamp': TPHAOEUT/H-PB/HRAFRP
'burning,': PWURPBG/KW-BG
'but': PWUT
'the': -T
'room': RAOPL
'appeared': A/PAOERD
'quite': KWAOEUT
'light,': HRAOEUT/KW-BG
'for': TPOR
'the': -T
'moon': PHAOPB
'shone': SHO*EPB
'through': THRU
'the': -T
'window': WOEUPBD
'upon': POPB
'the': -T
'floor,': TPHRAOR/KW-BG
'and': SKP
'made': PHAED
'it': T
'almost': HR-PL
'like': HRAOEUBG
'day.': TKAEU/TP-PL
'All': KPA/AUL
'the': -T
'hyacinths': HAOEU/S*EUPBT/-S
'and': SKP
'tulips': TAOU/HREUPS
'stood': STAOD
'in': TPH
'two': TWO
'long': HROPBG
'rows': ROES
'down': TKOUPB
'the': -T
'room,': RAOPL/KW-BG
'not': TPHOT
'a': AEU
'single': SEUPBLG
'flower': TPHRO*UR
'remained': RE/PHAEUPBD
'in': TPH
'the': -T
'window,': WOEUPBD/KW-BG
'and': SKP
'the': -T
'flower-pots': TPHRO*UR/H-PB/POTS
'were': WR
'all': AUL
'empty.': EPLT/TP-PL
'The': KPA/-T
'flowers': TPHRO*URS
'were': WR
'dancing': TKAPBS/-G
'gracefully': TKPWRAEUS/-FL/HREU
'on': OPB
'the': -T
'floor,': TPHRAOR/KW-BG
'making': PHAEUG
'turns': TURPBS
'and': SKP
'holding': HOELGD
'each': AOEFP
'other': OER
'by': PWEU
'their': THAEUR
'long': HROPBG
'green': TKPWRAOEPB
'leaves': HREFS
'as': AS
'they': THE
'swung': SWUPBG
'round.': ROUPBD/TP-PL
'At': KPA/AT
'the': -T
'piano': PAPB/TPHOE
'sat': SAT
'a': AEU
'large': HRARPBLG
'yellow': KWREL/OE
'lily': HREUL/KWREU
'which': WEU
'little': HREUL
'Ida': KPA/EUD/SKWRA
'was': WAS
'sure': SHUR
'she': SHE
'had': H
'seen': SAOEPB
'in': TPH
'the': -T
'summer,': SAOURPL/KW-BG
'for': TPOR
'she': SHE
'remembered': RERD
'the': -T
'student': STAUPB
'saying': SAEUG
'she': SHE
'was': WAS
'very': SRE
'much': PHUFP
'like': HRAOEUBG
'Miss': PH*EUS/S-P
'Lina,': HRAOEPB/TPHA/KW-BG
'one': WUPB
'of': -F
'Ida's': KPA/EUD/SKWRA/AES
'friends.': TPREPBDZ/TP-PL
'They': KPA/THE
'all': AUL
'laughed': HRAFD
'at': AT
'him': HEUPL
'then,': THEPB/KW-BG
'but': PWUT
'now': TPHOU
'it': T
'seemed': SAOEPLD
'to': TO
'little': HREUL
'Ida': KPA/EUD/SKWRA
'as': AS
'if': TP
'the': -T
'tall,': TAUL/KW-BG
'yellow': KWREL/OE
'flower': TPHRO*UR
'was': WAS
'really': R-L
'like': HRAOEUBG
'the': -T
'young': KWRUPBG
'lady.': HRA*ED/TP-PL
'She': KPA/SHE
'had': H
'just': SKWRUFT
'the': -T
'same': SAEUPL
'manners': PHAERPBS
'while': WHAOEUL
'playing,': PHRAEUG/KW-BG
'bending': PWEPBGD
'her': HER
'long': HROPBG
'yellow': KWREL/OE
'face': TPAEUS
'from': TPR
'side': SAOEUD
'to': TO
'side,': SAOEUD/KW-BG
'and': SKP
'nodding': TPHOD/-G
'in': TPH
'time': TAOEUPL
'to': TO
'the': -T
'beautiful': PWAOUFL
'music.': PHAOUFBG/TP-PL
'Then': KPA/THEPB
'she': SHE
'saw': SAU
'a': AEU
'large': HRARPBLG
'purple': PURPL
'crocus': KROE/KUS
'jump': SKWRUFRP
'into': TPHAO
'the': -T
'middle': PH*EULD
'of': -F
'the': -T
'table': TAEUBL
'where': W-R
'the': -T
'playthings': PHRAEU/THEUPBG/-S
'stood,': STAOD/KW-BG
'go': TKPW
'up': UP
'to': TO
'the': -T
'doll's': TKOL/AES
'bedstead': PWED/TK-LS/STED
'and': SKP
'draw': TKRAU
'back': PWABG
'the': -T
'curtains;': KUR/TEUPBS/STPH*FPLT
'there': THR
'lay': HRAEU
'the': -T
'sick': SEUBG
'flowers,': TPHRO*URS/KW-BG
'but': PWUT
'they': THE
'got': TKPWOT
'up': UP
'directly,': TKREL/KW-BG
'and': SKP
'nodded': TPHOD/-D
'to': TO
'the': -T
'others': OERS
'as': AS
'a': AEU
'sign': SAOEUPB
'that': THA
'they': THE
'wished': WEURBD
'to': TO
'dance': TKAPBS
'with': W
'them.': THEPL/TP-PL
'The': KPA/-T
'old': OLD
'rough': RUF
'doll,': TKOL/KW-BG
'with': W
'the': -T
'broken': PWROEPB
'mouth,': PHO*UT/KW-BG
'stood': STAOD
'up': UP
'and': SKP
'bowed': PWOE/-D
'to': TO
'the': -T
'pretty': PREUT
'flowers.': TPHRO*URS/TP-PL
'They': KPA/THE
'did': TK
'not': TPHOT
'look': HRAOBG
'ill': EUL
'at': AT
'all': AUL
'now,': TPHOURBGS
'but': PWUT
'jumped': SKWR*UPLD
'about': PW
'and': SKP
'were': WR
'very': SRE
'merry,': PHER/REU/KW-BG
'yet': KWRET
'none': TPHOPB
'of': -F
'them': THEPL
'noticed': TPH-TS/-D
'little': HREUL
'Ida.': KPA/EUD/SKWRA/TP-PL
'Presently': KPA/PREPBLT
'it': T
'seemed': SAOEPLD
'as': AS
'if': TP
'something': S-G
'fell': TPEL
'from': TPR
'the': -T
'table.': TAEUBL/TP-PL
'Ida': KPA/EUD/SKWRA
'looked': HRAOBGD
'that': THA
'way,': WAEU/KW-BG
'and': SKP
'saw': SAU
'a': AEU
'slight': SHRAOEUT
'carnival': KARPB/SRAL
'rod': ROD
'jumping': SKWRUFRPG
'down': TKOUPB
'among': PHOPBG
'the': -T
'flowers': TPHRO*URS
'as': AS
'if': TP
'it': T
'belonged': PWHROPBGD
'to': TO
'them;': THEPL/STPH*FPLT
'it': T
'was,': WAS/KW-BG
'however,': HOUF/KW-BG
'very': SRE
'smooth': SPHAO*T
'and': SKP
'neat,': TPHAOET/KW-BG
'and': SKP
'a': AEU
'little': HREUL
'wax': WABGS
'doll': TKOL
'with': W
'a': AEU
'broad': PWRAOD
'brimmed': PW*/R*/*EU/PH*/PH*/-D
'hat': HAT
'on': OPB
'her': HER
'head,': HED/KW-BG
'like': HRAOEUBG
'the': -T
'one': WUPB
'worn': WORPB
'by': PWEU
'the': -T
'lawyer,': HRAUR/KW-BG
'sat': SAT
'upon': POPB
'it.': T/TP-PL
'The': KPA/-T
'carnival': KARPB/SRAL
'rod': ROD
'hopped': HOPD
'about': PW
'among': PHOPBG
'the': -T
'flowers': TPHRO*URS
'on': OPB
'its': EUTS
'three': THRAOE
'red': RED
'stilted': STEULT/-D
'feet,': TPAOET/KW-BG
'and': SKP
'stamped': STA*PLD
'quite': KWAOEUT
'loud': HROUD
'when': WHEPB
'it': T
'danced': TKAPBS/-D
'the': -T
'Mazurka;': PH*P/A*/STKPW*/*U/R*/*BG/SKWRA/STPH*FPLT
'the': -T
'flowers': TPHRO*URS
'could': KO
'not': TPHOT
'perform': PORPL
'this': TH
'dance,': TKAPBS/KW-BG
'they': THE
'were': WR
'too': TAO
'light': HRAOEUT
'to': TO
'stamp': STAFRP
'in': TPH
'that': THA
'manner.': PHAERPB/TP-PL
'All': KPA/AUL
'at': AT
'once': WUPBS
'the': -T
'wax': WABGS
'doll': TKOL
'which': WEU
'rode': ROED
'on': OPB
'the': -T
'carnival': KARPB/SRAL
'rod': ROD
'seemed': SAOEPLD
'to': TO
'grow': TKPWROE
'larger': HRAERPBLG
'and': SKP
'taller,': TAURL/KW-BG
'and': SKP
'it': T
'turned': TURPBD
'round': ROUPBD
'and': SKP
'said': SED
'to': TO
'the': -T
'paper': PAEUP
'flowers,': TPHRO*URS/KW-BG
'"How': KW-GS/KPA*/HOU
'can': K
'you': U
'put': PUT
'such': SUFP
'things': THEUPBGS
'in': TPH
'a': AEU
'child's': KHAOEULD/AES
'head?': HED/H-F
'they': THE
'are': R
'all': AUL
'foolish': TPAOL/EURB
'fancies;"': TPAPB/SEU/-S/STPH*FPLT/KR-GS
'and': SKP
'then': THEPB
'the': -T
'doll': TKOL
'was': WAS
'exactly': ELG
'like': HRAOEUBG
'the': -T
'lawyer': HRAUR
'with': W
'the': -T
'broad': PWRAOD
'brimmed': PW*/R*/*EU/PH*/PH*/-D
'hat,': HAT/KW-BG
'and': SKP
'looked': HRAOBGD
'as': AS
'yellow': KWREL/OE
'and': SKP
'as': AS
'cross': KROS
'as': AS
'he': HE
'did;': TK/STPH*FPLT
'but': PWUT
'the': -T
'paper': PAEUP
'dolls': TKOLS
'struck': STRUBG
'him': HEUPL
'on': OPB
'his': HEUS
'thin': THEUPB
'legs,': HREGS/KW-BG
'and': SKP
'he': HE
'shrunk': SHR*UPBG
'up': UP
'again': TKPWEPB
'and': SKP
'became': PWAEUPL
'quite': KWAOEUT
'a': AEU
'little': HREUL
'wax': WABGS
'doll.': TKOL/TP-PL
'This': KPA/TH
'was': WAS
'very': SRE
'amusing,': A/PHAOUFG/KW-BG
'and': SKP
'Ida': KPA/EUD/SKWRA
'could': KO
'not': TPHOT
'help': HEP
'laughing.': HRAFG/TP-PL
'The': KPA/-T
'carnival': KARPB/SRAL
'rod': ROD
'went': WEPBT
'on': OPB
'dancing,': TKAPBS/-G/KW-BG
'and': SKP
'the': -T
'lawyer': HRAUR
'was': WAS
'obliged': OE/PWHRAOEUPBLGD
'to': TO
'dance': TKAPBS
'also.': HR-S/TP-PL
'It': KPA/T
'was': WAS
'no': TPHO
'use,': AOUS/KW-BG
'he': HE
'might': PHAOEUT
'make': PHAEUBG
'himself': HEUPLS
'great': TKPWRAET
'and': SKP
'tall,': TAUL/KW-BG
'or': OR
'remain': RAEUPL
'a': AEU
'little': HREUL
'wax': WABGS
'doll': TKOL
'with': W
'a': AEU
'large': HRARPBLG
'black': PWHRABG
'hat;': HAT/STPH*FPLT
'still': STEUL
'he': HE
'must': PHUFT
'dance.': TKAPBS/TP-PL
'Then': KPA/THEPB
'at': AT
'last': HRAFT
'the': -T
'other': OER
'flowers': TPHRO*URS
'interceded': EUPBT/SAOED/-D
'for': TPOR
'him,': HEUPL/KW-BG
'especially': EPS
'those': THOZ
'who': WHO
'had': H
'lain': HRAEUPB
'in': TPH
'the': -T
'doll's': TKOL/AES
'bed,': PWED/KW-BG
'and': SKP
'the': -T
'carnival': KARPB/SRAL
'rod': ROD
'gave': TKPWAEUF
'up': UP
'his': HEUS
'dancing.': TKAPBS/-G/TP-PL
'At': KPA/AT
'the': -T
'same': SAEUPL
'moment': PHOEPLT
'a': AEU
'loud': HROUD
'knocking': TPHOBG/-G
'was': WAS
'heard': HAERD
'in': TPH
'the': -T
'drawer,': TKRAUR/KW-BG
'where': W-R
'Ida's': KPA/EUD/SKWRA/AES
'doll': TKOL
'Sophy': S*P/O*/P*/H*/KWREU
'lay': HRAEU
'with': W
'many': PHAEPB
'other': OER
'toys.': TOEUS/TP-PL
'Then': KPA/THEPB
'the': -T
'rough': RUF
'doll': TKOL
'ran': RAPB
'to': TO
'the': -T
'end': EPBD
'of': -F
'the': -T
'table,': TAEUBL/KW-BG
'laid': HRAEUD
'himself': HEUPLS
'flat': TPHRAT
'down': TKOUPB
'upon': POPB
'it,': T/KW-BG
'and': SKP
'began': TKPWAPB
'to': TO
'pull': PUL
'the': -T
'drawer': TKRAUR
'out': OUT
'a': AEU
'little': HREUL
'way.': WAEU/TP-PL
'Then': KPA/THEPB
'Sophy': S*P/O*/P*/H*/KWREU
'raised': RA*EUFD
'himself,': HEUPLS/KW-BG
'and': SKP
'looked': HRAOBGD
'round': ROUPBD
'quite': KWAOEUT
'astonished,': A/STOPB/EURBD/KW-BG
'"There': KW-GS/KPA*/THR
'must': PHUFT
'be': -B
'a': AEU
'ball': PWAUL
'here': HAOER
'to-night,"': TO/H-PB/TPHAOEUT/KW-BG/KR-GS
'said': SED
'Sophy.': S*P/O*/P*/H*/KWREU/TP-PL
'"Why': KW-GS/KPA*/KWR
'did': TK
'not': TPHOT
'somebody': S-B
'tell': TEL
'me?"': PHE/H-F/KR-GS
'"Will': KW-GS/W*EUL
'you': U
'dance': TKAPBS
'with': W
'me?"': PHE/H-F/KR-GS
'said': SED
'the': -T
'rough': RUF
'doll.': TKOL/TP-PL
'"You': KW-GS/KPA*/U
'are': R
'the': -T
'right': RAOEUT
'sort': SORT
'to': TO
'dance': TKAPBS
'with,': W/KW-BG
'certainly,"': SERPBL/KW-BG/KR-GS
'said': SED
'she,': SHE/KW-BG
'turning': TURPBG
'her': HER
'back': PWABG
'upon': POPB
'him.': HEUPL/TP-PL
'Then': KPA/THEPB
'she': SHE
'seated': SAOETD
'herself': H*ERS
'on': OPB
'the': -T
'edge': EPBLG
'of': -F
'the': -T
'drawer,': TKRAUR/KW-BG
'and': SKP
'thought': THAUT
'that': THA
'perhaps': PRAPS
'one': WUPB
'of': -F
'the': -T
'flowers': TPHRO*URS
'would': WO
'ask': SK
'her': HER
'to': TO
'dance;': TKAPBS/STPH*FPLT
'but': PWUT
'none': TPHOPB
'of': -F
'them': THEPL
'came.': KAEUPL/TP-PL
'Then': KPA/THEPB
'she': SHE
'coughed,': KOFD/KW-BG
'"Hem,': KW-GS/KPA*/HEPL/KW-BG
'hem,': HEPL/KW-BG
'a-hem;"': AEU/H-PB/HEPL/STPH*FPLT/KR-GS
'but': PWUT
'for': TPOR
'all': AUL
'that': THA
'not': TPHOT
'one': WUPB
'came.': KAEUPL/TP-PL
'The': KPA/-T
'shabby': SHAB/KWREU
'doll': TKOL
'now': TPHOU
'danced': TKAPBS/-D
'quite': KWAOEUT
'alone,': A/HROEPB/KW-BG
'and': SKP
'not': TPHOT
'very': SRE
'badly,': PWAD/HREU/KW-BG
'after': AF
'all.': AUL/TP-PL
'As': KPA/AS
'none': TPHOPB
'of': -F
'the': -T
'flowers': TPHRO*URS
'seemed': SAOEPLD
'to': TO
'notice': TPH-TS
'Sophy,': S*P/O*/P*/H*/KWREU/KW-BG
'she': SHE
'let': HRET
'herself': H*ERS
'down': TKOUPB
'from': TPR
'the': -T
'drawer': TKRAUR
'to': TO
'the': -T
'floor,': TPHRAOR/KW-BG
'so': SO
'as': AS
'to': TO
'make': PHAEUBG
'a': AEU
'very': SRE
'great': TKPWRAET
'noise.': TPHOEUS/TP-PL
'All': KPA/AUL
'the': -T
'flowers': TPHRO*URS
'came': KAEUPL
'round': ROUPBD
'her': HER
'directly,': TKREL/KW-BG
'and': SKP
'asked': SK-D
'if': TP
'she': SHE
'had': H
'hurt': HURT
'herself,': H*ERS/KW-BG
'especially': EPS
'those': THOZ
'who': WHO
'had': H
'lain': HRAEUPB
'in': TPH
'her': HER
'bed.': PWED/TP-PL
'But': KPA/PWUT
'she': SHE
'was': WAS
'not': TPHOT
'hurt': HURT
'at': AT
'all,': AUL/KW-BG
'and': SKP
'Ida's': KPA/EUD/SKWRA/AES
'flowers': TPHRO*URS
'thanked': THAPBGD
'her': HER
'for': TPOR
'the': -T
'use': AOUS
'of': -F
'the': -T
'nice': TPHAOEUS
'bed,': PWED/KW-BG
'and': SKP
'were': WR
'very': SRE
'kind': KEUPBD
'to': TO
'her.': HER/TP-PL
'They': KPA/THE
'led': HRED
'her': HER
'into': TPHAO
'the': -T
'middle': PH*EULD
'of': -F
'the': -T
'room,': RAOPL/KW-BG
'where': W-R
'the': -T
'moon': PHAOPB
'shone,': SHO*EPB/KW-BG
'and': SKP
'danced': TKAPBS/-D
'with': W
'her,': HER/KW-BG
'while': WHAOEUL
'all': AUL
'the': -T
'other': OER
'flowers': TPHRO*URS
'formed': TPORPLD
'a': AEU
'circle': SOEURBG
'round': ROUPBD
'them.': THEPL/TP-PL
'Then': KPA/THEPB
'Sophy': S*P/O*/P*/H*/KWREU
'was': WAS
'very': SRE
'happy,': HAEP/KW-BG
'and': SKP
'said': SED
'they': THE
'might': PHAOEUT
'keep': KAOEP
'her': HER
'bed;': PWED/STPH*FPLT
'she': SHE
'did': TK
'not': TPHOT
'mind': PHAOEUPBD
'lying': HRAOEUG
'in': TPH
'the': -T
'drawer': TKRAUR
'at': AT
'all.': AUL/TP-PL
'But': KPA/PWUT
'the': -T
'flowers': TPHRO*URS
'thanked': THAPBGD
'her': HER
'very': SRE
'much,': PHUFP/KW-BG
'and': SKP
'said,—': SED/KW-BG/EPL/TKA*RB
'"We': KW-GS/KPA*/WE
'cannot': SK-PBT
'live': HREUF
'long.': HROPBG/TP-PL
'To-morrow': KPA/TO/H-PB/HRO*ER/PHOR/ROE
'morning': PHORPBG
'we': WE
'shall': SHAL
'be': -B
'quite': KWAOEUT
'dead;': TKED/STPH*FPLT
'and': SKP
'you': U
'must': PHUFT
'tell': TEL
'little': HREUL
'Ida': KPA/EUD/SKWRA
'to': TO
'bury': PWUR/REU
'us': US
'in': TPH
'the': -T
'garden,': TKPWA*RPB/KW-BG
'near': TPHAOER
'to': TO
'the': -T
'grave': TKPWRAEUF
'of': -F
'the': -T
'canary;': KA/TPHAER/STPH*FPLT
'then,': THEPB/KW-BG
'in': TPH
'the': -T
'summer': SAOURPL
'we': WE
'shall': SHAL
'wake': WAEUBG
'up': UP
'and': SKP
'be': -B
'more': PHOR
'beautiful': PWAOUFL
'than': THAPB
'ever."': -FR/TP-PL/KR-GS
'"No,': KW-GS/KPA*/TPHO/KW-BG
'you': U
'must': PHUFT
'not': TPHOT
'die,"': TKAOEU/KW-BG/KR-GS
'said': SED
'Sophy,': S*P/O*/P*/H*/KWREU/KW-BG
'as': AS
'she': SHE
'kissed': K*EUFD
'the': -T
'flowers.': TPHRO*URS/TP-PL
'Then': KPA/THEPB
'the': -T
'door': TKAOR
'of': -F
'the': -T
'room': RAOPL
'opened,': OEPD/KW-BG
'and': SKP
'a': AEU
'number': TPHUPL
'of': -F
'beautiful': PWAOUFL
'flowers': TPHRO*URS
'danced': TKAPBS/-D
'in.': TPH/TP-PL
'Ida': KPA/EUD/SKWRA
'could': KO
'not': TPHOT
'imagine': PHAPBLG
'where': W-R
'they': THE
'could': KO
'come': KOPL
'from,': TPR/KW-BG
'unless': TPH-LS
'they': THE
'were': WR
'the': -T
'flowers': TPHRO*URS
'from': TPR
'the': -T
'king's': KEUPBG/AES
'garden.': TKPWA*RPB/TP-PL
'First': KPA/TPEUFRT
'came': KAEUPL
'two': TWO
'lovely': HROFL
'roses,': ROES/-S/KW-BG
'with': W
'little': HREUL
'golden': TKPWOELD/*EPB
'crowns': KROUPBS
'on': OPB
'their': THAEUR
'heads;': HEDZ/STPH*FPLT
'these': THEZ
'were': WR
'the': -T
'king': KEUPBG
'and': SKP
'queen.': KWAOEPB/TP-PL
'Beautiful': KPA/PWAOUFL
'stocks': STOBGS
'and': SKP
'carnations': KARPB/AEUGS/-S
'followed,': TPOLD/KW-BG
'bowing': PWOUG
'to': TO
'every': EF
'one': WUPB
'present.': PREPBT/TP-PL
'They': KPA/THE
'had': H
'also': HR-S
'music': PHAOUFBG
'with': W
'them.': THEPL/TP-PL
'Large': KPA/HRARPBLG
'poppies': POP/PEU/-S
'and': SKP
'peonies': PE/KWRO/TPHAOES
'had': H
'pea-shells': PAE/H-PB/SHELS
'for': TPOR
'instruments,': STRAOUPLTS/KW-BG
'and': SKP
'blew': PWHRAOU
'into': TPHAO
'them': THEPL
'till': TEUL
'they': THE
'were': WR
'quite': KWAOEUT
'red': RED
'in': TPH
'the': -T
'face.': TPAEUS/TP-PL
'The': KPA/-T
'bunches': PWUFRPBS
'of': -F
'blue': PWHRU
'hyacinths': HAOEU/S*EUPBT/-S
'and': SKP
'the': -T
'little': HREUL
'white': WHAOEUT
'snowdrops': STPHOE/TK-LS/TKROP/-S
'jingled': SKWREUPBG/-LD
'their': THAEUR
'bell-like': PWEL/SKWRAOEUBG
'flowers,': TPHRO*URS/KW-BG
'as': AS
'if': TP
'they': THE
'were': WR
'real': RAEL
'bells.': PWELS/TP-PL
'Then': KPA/THEPB
'came': KAEUPL
'many': PHAEPB
'more': PHOR
'flowers:': TPHRO*URS/STPH-FPLT
'blue': PWHRU
'violets,': SROEULT/-S/KW-BG
'purple': PURPL
'heart's-ease,': HART/AES/H-PB/AOES/KW-BG
'daisies,': TKAEUS/KWREU/-S/KW-BG
'and': SKP
'lilies': HREUL/KWREU/-S
'of': -F
'the': -T
'valley,': SRAL/KWREU/KW-BG
'and': SKP
'they': THE
'all': AUL
'danced': TKAPBS/-D
'together,': TOGT/KW-BG
'and': SKP
'kissed': K*EUFD
'each': AOEFP
'other.': OER/TP-PL
'It': KPA/T
'was': WAS
'very': SRE
'beautiful': PWAOUFL
'to': TO
'behold.': PWE/HOLD/TP-PL
'At': KPA/AT
'last': HRAFT
'the': -T
'flowers': TPHRO*URS
'wished': WEURBD
'each': AOEFP
'other': OER
'good-night.': TKPWAOD/H-PB/TPHAOEUT/TP-PL
'Then': KPA/THEPB
'little': HREUL
'Ida': KPA/EUD/SKWRA
'crept': KREPT
'back': PWABG
'into': TPHAO
'her': HER
'bed': PWED
'again,': STKPWERPBGS
'and': SKP
'dreamt': TKREPLT
'of': -F
'all': AUL
'she': SHE
'had': H
'seen.': SAOEPB/TP-PL
'When': KPA/WHEPB
'she': SHE
'arose': A/ROES
'the': -T
'next': TPHEGT
'morning,': PHORPBG/KW-BG
'she': SHE
'went': WEPBT
'quickly': KWEULG
'to': TO
'the': -T
'little': HREUL
'table,': TAEUBL/KW-BG
'to': TO
'see': SAOE
'if': TP
'the': -T
'flowers': TPHRO*URS
'were': WR
'still': STEUL
