The Chaos
'peel': PAOEL
''taters': A*E/TAT/*ERS
'with': W
'my': PHEU
'razor,': RAEUZ/O*R/KW-BG
'Rather': KPA/RAER
'say': SAEU
'in': TPH
'accents': ABG/SEPBTS
'pure:': PAOUR/STPH-FPLT
'Nature,': KPA/TPHAEURT/KW-BG
'stature': STA/TUR
'and': SKP
'mature.': PHAT/UR/TP-PL
'Pious,': KPA/PAOEU/OUS/KW-BG
'impious,': *EUPL/KWROUS/KW-BG
'limb,': HREUPL/KW-BG
'climb,': KHRAOEUPL/KW-BG
'glumly,': TKPWHRUPL/HREU/KW-BG
'Worsted,': KPA/WORS/TED/KW-BG
'worsted,': WORS/TED/KW-BG
'crumbly,': KRUPL/PWHREU/KW-BG
'dumbly,': TKUPL/HREU/KW-BG
'Conquer,': KPA/KAUPB/KER/KW-BG
'conquest,': KOPB/KW*ES/KW-BG
'vase,': SRAS/KW-BG
'phase,': TPAEUZ/KW-BG
'fan,': TPAPB/KW-BG
'Wan,': KPA/WAUPB/KW-BG
'sedan': STKAPB
'and': SKP
'artisan.': ART/SAPB/TP-PL
'The': KPA/-T
'TH': T*P/H*P
'will': HR
'surely': SHURL
'trouble': TRUBL
'you': U
'More': KPA/PHOR
'than': THAPB
'R,': R*P/KW-BG
'CH': KR*P/H*P
'or': OR
'W.': W*P/TP-PL
'Say': KPA/SAEU
'then': THEPB
'these': THEZ
'phonetic': TPOEPB/TEUBG
'gems:': SKWREPLS/STPH-FPLT
'Thomas,': THOPLS/KW-BG
'thyme,': THAOEUPL/KW-BG
'Theresa,': TRAOE/SA/KW-BG
'Thames.': TEPLS/TP-PL
'Thompson,': TOPL/SOPB/KW-BG
'Chatham,': KHAT/HA*PL/KW-BG
'Waltham,': WA*LT/HA*PL/KW-BG
'Streatham,': S*P/T*/R*/*E/A*/T*/HA*PL/KW-BG
'There': KPA/THR
'are': R
'more': PHOR
'but': PWUT
'I': EU
'forget': TPORGT
''em': *EPL
'-': H-PB
'Wait!': KPA/WAEUT/SKHRAPL
'I've': AOEUF
'got': TKPWOT
'it:': T/STPH-FPLT
'Anthony,': A*PBT/TPHEU/KW-BG
'Lighten': KPA/HRAOEUT/*EPB
'your': KWROUR
'anxiety.': KPAO*EUT/TP-PL
'The': KPA/-T
'archaic': AR/KAEUBG
'word': WORD
'albeit': AL/PWAOET
'Does': KPA/TKOS
'not': TPHOT
'rhyme': RAOEUPL
'with': W
'eight': AET
'-': H-PB
'you': U
'see': SAOE
'it;': T/STPH*FPLT
'With': KPA/W
'and': SKP
'forthwith,': TPA*URT/W/KW-BG
'one': WUPB
'has': HAS
'voice,': SROEUS/KW-BG
'One': KPA/WUPB
'has': HAS
'not,': TPHOT/KW-BG
'you': U
'make': PHAEUBG
'your': KWROUR
'choice.': KHOEUS/TP-PL
'Shoes,': KPA/SHAOUS/KW-BG
'goes,': TKPW-S/KW-BG
'does': TKOS
'Now': KPA/TPHOU
'first': TPEUFRT
'say:': SAEU/STPH-FPLT
'finger;': TPEURPBG/STPH*FPLT
'Then': KPA/THEPB
'say:': SAEU/STPH-FPLT
'singer,': SEURPBG/KW-BG
'ginger,': SKWREUPB/*ER/KW-BG
'linger.': HREURPBG/TP-PL
'Real,': KPA/RAEL/KW-BG
'zeal,': SAO*EL/KW-BG
'mauve,': PHAUF/KW-BG
'gauze': TKPWAUZ
'and': SKP
'gauge,': TKPWAUPBLG/KW-BG
'Marriage,': KPA/PHAERPBLG/KW-BG
'foliage,': TPOEL/APBLG/KW-BG
'mirage,': PHEUR/APBLG/KW-BG
'age,': AEUPBLG/KW-BG
'Hero,': KPA/HOEUR/KW-BG
'heron,': HER/ROPB/KW-BG
'query,': KW*ER/KW-BG
'very,': SRE/KW-BG
'Parry,': KPA/PAR/REU/KW-BG
'tarry,': TAEUR/REU/KW-BG
'fury,': TPAOU/REU/KW-BG
'bury,': PWUR/REU/KW-BG
'Dost,': KPA/TK*/O*/S*/T*/KW-BG
'lost,': HRO*S/KW-BG
'post,': POEFT/KW-BG
'and': SKP
'doth,': TKA*UT/KW-BG
'cloth,': KHRO*T/KW-BG
'loth,': HRO/*T/KW-BG
'Job,': SKWROEB/KW-BG
'Job,': SKWROEB/KW-BG
'blossom,': PWHROFPL/KW-BG
'bosom,': PWUZ/OPL/KW-BG
'oath.': O*ET/TP-PL
'Faugh,': TP*P/A*/*U/TKPW*/H*/KW-BG
'oppugnant,': O*/P*/P*/*U/TKPW*/*PB/APBT/KW-BG
'keen': KAOEPB
'oppugners,': O*/P*/P*/*U/TKPW*/*PB/*ERS/KW-BG
'Bowing,': KPA/PWOUG/KW-BG
'bowing,': PWOUG/KW-BG
'banjo-tuners': PWAPB/SKWROE/H-PB/TUPB/*ERS
'Holm': KPA/HO*EPL
'you': U
'know,': TPHOE/KW-BG
'but': PWUT
'noes,': TPHO/ES/KW-BG
'canoes,': KA/TPHAO/-S/KW-BG
'Puisne,': P*P/SKWRU/SKWREU/-S/*PB/SKWR*E/KW-BG
'truism,': TRAOU/EUFPL/KW-BG
'use,': AOUS/KW-BG
'to': TO
'use?': AOUS/H-F
'Though': KPA/THOE
'the': -T
'difference': TKEUFRPBS
'seems': SAOEPLS
'little,': HREUL/KW-BG
'We': KPA/WE
'say': SAEU
'actual,': TWAUL/KW-BG
'but': PWUT
'victual,': SR*/*EU/KR*/T*/SKWRU/A*L/KW-BG
'Seat,': KPA/SAOET/KW-BG
'sweat,': SWET/KW-BG
'chaste,': KHAEUFT/KW-BG
'caste,': KA*ES/KW-BG
'Leigh,': HRAO*E/KW-BG
'eight,': AET/KW-BG
'height,': HAOEUT/KW-BG
'Put,': KPA/PUT/KW-BG
'nut,': TPHUT/KW-BG
'granite,': TKPWRAPB/EUT/KW-BG
'and': SKP
'unite': OEUPBT
'Reefer': KPA/RAOEFR
'does': TKOS
'not': TPHOT
'rhyme': RAOEUPL
'with': W
'deafer,': TKEF/*ER/KW-BG
'Feoffer': TP*E/SKWROF/*ER
'does,': TKOS/KW-BG
'and': SKP
'zephyr,': STKPWEFR/KW-BG
'heifer.': HEFR/TP-PL
'Dull,': KPA/TKUL/KW-BG
'bull,': PWUL/KW-BG
'Geoffrey,': SKWR*EF/REU/KW-BG
'George,': SKWRORPBLG/KW-BG
'ate,': AEUT/KW-BG
'late,': HRAEUT/KW-BG
'Hint,': KPA/HEUPBT/KW-BG
'pint,': PAOEUPBT/KW-BG
'senate,': STPHAT/KW-BG
'but': PWUT
'sedate.': STKAEUT/TP-PL
'Gaelic,': TKPWAEUL/EUBG/KW-BG
'Arabic,': PWR*EUBG/KW-BG
'pacific,': HRO*ER/PAFBG/KW-BG
'Science,': KPA/SKRAOEUPBS/KW-BG
'conscience,': KAUPBGS/KW-BG
'scientific;': SKEUFBG/STPH*FPLT
'Tour,': KPA/TOR/KW-BG
'but': PWUT
'our,': OUR/KW-BG
'dour,': TKOUR/KW-BG
'succour,': SUBG/KOR/A*U/KW-BG
'four,': TPOUR/KW-BG
'Gas,': KPA/TKPWAS/KW-BG
'alas,': A/HRAS/KW-BG
'and': SKP
'Arkansas.': A*BG/TP-PL
'Say': KPA/SAEU
'manoeuvre,': PHAPB/AOUFR/A*U/KW-BG
'yacht': KWROT
'and': SKP
'vomit,': SROPLT/KW-BG
'Next': KPA/TPHEGT
'omit,': OEPLT/KW-BG
'which': WEU
'differs': TKEUFRS
'from': TPR
'it': T
'Bona': KPA/PWOE/TPHA
'fide,': TPAOEU/TKAOE/KW-BG
'alibi': AL/PWEU
'Gyrate,': KPA/SKWRAOEU/RAEUT/KW-BG
'dowry': TKOU/REU
'and': SKP
'awry.': AU/REU/TP-PL
'Sea,': KPA/SAE/KW-BG
'idea,': KWR-D/KW-BG
'guinea,': HRO*ER/TKPWEU/TPHAOE/KW-BG
'area,': AEUR/KWRARBGS
'Psalm,': KPA/SAUPL/KW-BG
'Maria,': PHA/REU/KWRA/KW-BG
'but': PWUT
'malaria.': PHA/HRAR/KWRA/TP-PL
'Youth,': KPA/KWRAO*UT/KW-BG
'south,': SOUT/KW-BG
'southern,': SORPB/KW-BG
'cleanse': KHREPBS
'and': SKP
'clean,': KHRAOEPB/KW-BG
'Doctrine,': KPA/TKORBGT/KW-BG
'turpentine,': TURP/TAOEUPB/KW-BG
'marine.': PHRAOEPB/TP-PL
'Compare': KPA/KPAR
'alien': KWRAEUPBL
'with': W
'Italian,': TA*PBL/KW-BG
'Dandelion': KPA/TKAPBD/HRAOEUPB
'with': W
'battalion,': PWA/TAL/KWROPB/KW-BG
'Rally': KPA/RAL/HREU
'with': W
'ally;': AL/HREU/STPH*FPLT
'yea,': KWRA*EU/KW-BG
'ye,': KWR*/*E/KW-BG
'Eye,': KPA/AOEU/KW-BG
'I,': EU/KW-BG
'ay,': A/KWR*/KW-BG
'aye,': AO*EU/KW-BG
'whey,': WHA*EU/KW-BG
'key,': KAOE/KW-BG
'quay!': KW*/*U/A*/KWR*/SKHRAPL
'Say': KPA/SAEU
'aver,': A*FR/KW-BG
'but': PWUT
'ever,': -FR/KW-BG
'fever,': TPAOEF/KW-BG
'Neither,': KPA/TPHAOERT/KW-BG
'leisure,': HR*ERB/KW-BG
'skein,': SKAEUPB/KW-BG
'receiver.': SAOEFR/TP-PL
'Never': KPA/TPHEFR
'guess': TKPWES
'-': H-PB
'it': T
'is': S
'not': TPHOT
'safe,': SAEUF/KW-BG
'We': KPA/WE
'say': SAEU
'calves,': KA*FLS/KW-BG
'valves,': SRAFLS/KW-BG
'half,': HAF/KW-BG
'but': PWUT
'Ralf.': R*P/A*/HR*/TP*/TP-PL
'Starry,': KPA/STAR/REU/KW-BG
'granary,': TKPWRAPB/REU/KW-BG
'canary,': KA/TPHAER/KW-BG
'Crevice,': KPA/KREFS/KW-BG
'but': PWUT
'device,': TKWAOEUS/KW-BG
'and': SKP
'eyrie,': *E/KWR*/R*/AO*E/KW-BG
'Face,': KPA/TPAEUS/KW-BG
'but': PWUT
'preface,': PREFS/KW-BG
'then': THEPB
'grimace,': TKPWREU/PHAS/KW-BG
'Phlegm,': KPA/TPHREPL/KW-BG
'phlegmatic,': TPHREG/PHAT/EUBG/KW-BG
'ass,': A*S/KW-BG
'glass,': TKPWHRARBGS
'bass.': PWAS/TP-PL
'Bass,': KPA/PWAS/KW-BG
'large,': HRARPBLG/KW-BG
'target,': TARGT/KW-BG
'gin,': SKWREUPB/KW-BG
'give,': TKPWEUF/KW-BG
'verging,': SRERPBLG/-G/KW-BG
'Ought,': KPA/OT/KW-BG
'oust,': OUFT/KW-BG
'joust,': SKWROUFT/KW-BG
'and': SKP
'scour,': SKOUR/KW-BG
'but': PWUT
'scourging;': SKORPBLG/-G/STPH*FPLT
'Ear,': KPA/AOER/KW-BG
'but': PWUT
'earn;': ERPB/STPH*FPLT
'and': SKP
'ere': AOE/R*/*E
'and': SKP
'tear': TAER
'Do': KPA/TKO
'not': TPHOT
'rhyme': RAOEUPL
'with': W
'here': HAOER
'but': PWUT
'heir.': A*EUR/TP-PL
'Mind': KPA/PHAOEUPBD
'the': -T
'O': O*P
'of': -F
'off': OF
'and': SKP
'often': OFPB
'Which': KPA/WEU
'may': PHAE
'be': -B
'pronounced': PROUPBS/-D
'as': AS
'orphan,': AUR/TPAPB/KW-BG
'With': KPA/W
'the': -T
'sound': SOUPBD
'of': -F
'saw': SAU
'and': SKP
'sauce;': SAUS/STPH*FPLT
'Also': KPA/HR-S
'soft,': SOFT/KW-BG
'lost,': HRO*S/KW-BG
'cloth': KHRO*T
'and': SKP
'cross.': KROS/TP-PL
'Pudding,': KPA/PUD/-G/KW-BG
'puddle,': P*ULD/KW-BG
'putting.': PUGT/TP-PL
'Putting?': KPA/PUGT/H-F
'Yes:': KPA/KWRE/STPH-FPLT
'at': AT
'golf': TKPWOFL
'it': T
'rhymes': RAOEUPLS
'with': W
'shutting.': SHUGT/TP-PL
'Respite,': KPA/RES/PEUT/KW-BG
'spite,': SPAOEUT/KW-BG
'consent,': KEFPBT/KW-BG
'resent.': RE/SEPBT/TP-PL
'Liable,': KPA/HRAOEUBL/KW-BG
'but': PWUT
'Parliament.': KPA/PAERPLT/TP-PL
'Seven': KPA/SEFPB
'is': S
'right,': RAOEUT/KW-BG
'but': PWUT
'so': SO
'is': S
'even,': AOEPB/KW-BG
'Hyphen,': KPA/HAOEUFPB/KW-BG
'roughen,': RUFPB/KW-BG
'nephew,': TPHEF/AOU/KW-BG
'Stephen,': STAO*EFPB/KW-BG
'Monkey,': KPA/PHOPB/KAE/KW-BG
'donkey,': TKOPB/KEU/KW-BG
'clerk': KHRERBG
'and': SKP
'jerk,': SKWRERBG/KW-BG
'Asp,': KPA/AS/-P/KW-BG
'grasp,': TKPWRAFP/KW-BG
'wasp,': WA*FP/KW-BG
'demesne,': TKE/PHE/-S/*PB/SKWR*E/KW-BG
'cork,': KORBG/KW-BG
'work.': WORBG/TP-PL
'A': KPA/AEU
'of': -F
'valour,': SRARL/A*U/KW-BG
'vapid,': SRAPD/KW-BG
'vapour,': SRAEURP/A*U/KW-BG
'S': S*P
'of': -F
'news': TPHUS
'(compare': PREPB/KPAR
'newspaper),': TPHAOUP/PR*EPB/KW-BG
'G': TKPW*P
'of': -F
'gibbet,': TKPWEUB/ET/KW-BG
'gibbon,': TKPWEUB/O*PB/KW-BG
'gist,': SKWREUFT/KW-BG
'I': EU
'of': -F
'antichrist': HRO*ER/A*EPBT/KRAO*EUS
'and': SKP
'grist,': TKPWR*EUS/KW-BG
'Differ': KPA/TK-FR
'like': HRAOEUBG
'diverse': TKWERS
'and': SKP
'divers,': TKAOEUFRS/KW-BG
'Rivers,': KPA/REUFRS/KW-BG
'strivers,': STRAO*EUFR/-S/KW-BG
'shivers,': SH*EUF/ERS/KW-BG
'fivers.': TPAOEUFR/-S/TP-PL
'Once,': KPA/WUPBS/KW-BG
'but': PWUT
'nonce,': TPHOPBS/KW-BG
'toll,': TOL/KW-BG
'doll,': TKOL/KW-BG
'but': PWUT
'roll,': ROL/KW-BG
'Polish,': POEL/EURB/KW-BG
'Polish,': POEL/EURB/KW-BG
'poll': POL
'and': SKP
'poll.': POL/TP-PL
'Pronunciation': KPA/PROUPBGS
'-': H-PB
'think': THEU
'of': -F
'Psyche!': KPA/SAOEUBG/SKHRAPL
'-': H-PB
'Is': KPA/S
'a': AEU
'paling,': HRO*ER/PA/HREUPBG/KW-BG
'stout': STOUT
'and': SKP
'spiky.': SPAOEUBG/KWEU/TP-PL
'Won't': KPA/WOEPBT
'it': T
'make': PHAEUBG
'you': U
'lose': HRUZ
'your': KWROUR
'wits': WEUT/-S
'Writing': KPA/WREUG
'groats': TKPW*/R*/O*/A*/T*/-S
'and': SKP
'saying': SAEUG
''grits'?': A*E/TKPWREUT/-S/AE/H-F
'It's': KPA/T-S
'a': AEU
'dark': TKARBG
'abyss': A/PWEUS
'or': OR
'tunnel': TUPBL
'Strewn': KPA/STRAOUPB
'with': W
'stones': STOEPBS
'like': HRAOEUBG
'rowlock,': R*/O*/W*/HR*/O*/KR*/*BG/KW-BG
'gunwale,': TKPWUPB/TPHEL/KW-BG
'Islington,': *EUP/S*/HR*/*EU/TPH*/TKPW*/T*/KWRO/*PB/KW-BG
'and': SKP
'Isle': KPA/AO*EULS
'of': -F
'Wight,': W*P/*EU/TKPW*/H*/T*/KW-BG
'Housewife,': KPA/HOUS/WAOEUF/KW-BG
'verdict': SRERD
'and': SKP
'indict.': TKAO*EUT/TP-PL
'Don't': KPA/TKOEPBT
'you': U
'think': THEU
'so,': SO/KW-BG
'reader,': RAERD/KW-BG
'rather,': RAER/KW-BG
'Saying': KPA/SAEUG
'lather,': HRA*T/*ER/KW-BG
'bather,': PWA*T/*ER/KW-BG
'father?': TPAER/H-F
'Finally,': KPA/TPHRAOEUPBL/KW-BG
'which': WEU
'rhymes': RAOEUPLS
'with': W
'enough,': TPHUF/KW-BG
'Though,': KPA/THOE/KW-BG
'through,': THRU/KW-BG
'bough,': PWO*U/KW-BG
'cough,': KOF/KW-BG
'hough,': H*/O*/*U/TKPW*/H*/KW-BG
'sough,': S*/O*/*U/TKPW*/H*/KW-BG
'tough??': TUF/H-F/H-F
'Hiccough': KPA/HEUBG/UP
'has': HAS
'the': -T
'sound': SOUPBD
'of': -F
'sup...': SUP/TP-PL/TP-PL/TP-PL
'My': KPA/PHEU
'advice': SREUS
'is:': S/STPH-FPLT
'GIVE': *URP/TKPWEUF
'IT': *EUT
'UP!': *URP/UP/SKHRAPL
